id,subcorpus,language,text,parallel_group,source,num_words,feature,morphemes_sw,num_morphemes,morphemes_detail,n_morphemes_seg,traduction_fr
P005_fon,A_parallel,fon,"É wá mɛ tɔn lɛ́ɛ gɔ́n, bɔ mɛ tɔn lɛ́ɛ ka yí i ǎ. ",P005,bible,14,,,14.0,É wá mɛ tɔn lɛ gɔn bɔ mɛ tɔn lɛ ka yí i ǎ,14.0,"Il vint chez lui, et les siens ne l'ont pas reçu."
P006_fr,A_parallel,fr,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",P006,bible,12,,,14.0,Il y eut un homme envoy|é de Dieu son nom êtr|ait Jean,14.0,
P006_wo,A_parallel,wo,"Am na nit ku Yàlla yebal, ñu di ko wax Yaxya. ",P006,bible,11,,,11.0,Am na nit ku Yàlla yebal ñu di ko wax Yaxya,11.0,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P006_yo,A_parallel,yo,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá; orúkọ ẹni tí ń jẹ́ Johanu.,P006,bible,16,,,16.0,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá orúkọ ẹni tí ń jẹ́ Johanu,16.0,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P006_sw,A_parallel,sw,Mungu alimtuma mtu mmoja jina lake Yohane.,P006,bible,7,,8.0,8.0,Mungu a|li|m|tuma mtu mmoja jina lake Yohane,10.0,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P006_fon,A_parallel,fon," Mawu sɛ́ mɛɖé dó, bɔ nyǐkɔ tɔn nyí Jǎan .",P006,bible,9,,,10.0,Mawu sɛ́ mɛ|ɖé dó bɔ nyǐ|kɔ tɔn nyí Jǎan,11.0,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P007_fr,A_parallel,fr,La médecine moderne a permis de sauver de nombreuses vies.,P007,FLORES-200 devtest,10,,,14.0,La médecin|e modern|e a permi|s de sauv|er de nombreus|e|s vie|s,17.0,
P007_wo,A_parallel,wo,Dëgëm bu yore bi dafa mën a dëkk yoon yi ngir méngal xel.,P007,FLORES-200 devtest,13,,,14.0,Dëgëm bu yore bi dafa mën a dëkk yoon yi ngir méngal xel,13.0,La médecine moderne a permis de sauver de nombreuses vies.
P007_yo,A_parallel,yo,Ìmọ̀ ìjìnlẹ̀ ogún òde òní ti gbà ọ̀pọ̀ ẹ̀mí là.,P007,FLORES-200 devtest,10,,,11.0,Ì|mọ̀ ì|jìnlẹ̀ ogún òde òní ti gbà ọ̀pọ̀ ẹ̀mí là,12.0,La médecine moderne a permis de sauver de nombreuses vies.
P007_sw,A_parallel,sw,Dawa ya kisasa imesaidia kuokoa maisha mengi.,P007,FLORES-200 devtest,7,,9.0,9.0,Dawa ya ki|sasa i|me|saidia ku|okoa maisha mengi,11.0,La médecine moderne a permis de sauver de nombreuses vies.
P007_fon,A_parallel,fon,Nɔxuanú yɔyɔ̌ e xlɛ́ ɔ ko d'alɔ bo hwlɛn gbɛ̀ wema gègě.,P007,FLORES-200 devtest,12,,,14.0,Nɔ|xua|nú yɔyɔ̌ e xlɛ́ ɔ ko d'alɔ bo hwlɛn gbɛ̀ we|ma gègě,15.0,La médecine moderne a permis de sauver de nombreuses vies.
P008_fr,A_parallel,fr,Les jeunes sont l'avenir de la société.,P008,FLORES-200 devtest,7,,,10.0,Les jeun|e|s son|t l' aven|ir de la société,12.0,
P008_wo,A_parallel,wo,Reew mi mooy yëngël bu suukandiku.,P008,FLORES-200 devtest,6,,,7.0,Reew mi mooy yëngël bu suukan|diku,7.0,Les jeunes sont l'avenir de la société.
P008_yo,A_parallel,yo,Àwọn ọ̀dọ́ ni ọjọ́ iwájú àwùjọ.,P008,FLORES-200 devtest,6,,,8.0,Àwọn ọ̀dọ́ ni ọjọ́ iwájú à|wùjọ,7.0,Les jeunes sont l'avenir de la société.
P008_sw,A_parallel,sw,Vijana ndio mustakabali wa jamii.,P008,FLORES-200 devtest,5,,5.0,5.0,Vi|jana ndio mustakabali wa jamii,6.0,Les jeunes sont l'avenir de la société.
P008_fon,A_parallel,fon,Mɛxotɔ lɛ wɛ nyí nukɔnmɛ tɔn.,P008,FLORES-200 devtest,6,,,8.0,Mɛ|xo|tɔ lɛ wɛ nyí nu|kɔn|mɛ tɔn,10.0,Les jeunes sont l'avenir de la société.
P009_fr,A_parallel,fr,La forêt tropicale abrite des milliers d'espèces animales.,P009,FLORES-200 devtest,8,,,14.0,La forêt tropic|al|e abrit|e des millier|s d' espèc|e|s animal|e|s,17.0,
P009_wo,A_parallel,wo,Kër bu yomb bi dafa am yoon yu bari yu xale yu jàmm.,P009,FLORES-200 devtest,13,,,13.0,Kër bu yomb bi dafa am yoon yu bari yu xale yu jàmm,13.0,La forêt tropicale abrite des milliers d'espèces animales.
P009_yo,A_parallel,yo,Igbó ilẹ̀ igbóná ní ẹgbẹẹgbẹ̀rún irú ẹranko.,P009,FLORES-200 devtest,7,,,10.0,Igbó ilẹ̀ igbóná ní ẹgbẹẹgbẹ̀rún irú ẹranko,7.0,La forêt tropicale abrite des milliers d'espèces animales.
P009_sw,A_parallel,sw,Msitu wa tropiki una maelfu ya spishi za wanyama.,P009,FLORES-200 devtest,9,,9.0,9.0,Msitu wa tropiki u|na maelfu ya spishi za wa|nyama,11.0,La forêt tropicale abrite des milliers d'espèces animales.
P009_fon,A_parallel,fon,Zɔ gbɛya ɔ nɔ nyí xwégbe nú suklu wema gègě.,P009,FLORES-200 devtest,10,,,13.0,Zɔ gbɛ|ya ɔ nɔ nyí xwé|gbe nú su|klu we|ma gègě,14.0,La forêt tropicale abrite des milliers d'espèces animales.
P010_fr,A_parallel,fr,Les nouvelles technologies changent notre façon de vivre.,P010,FLORES-200 devtest,8,,,14.0,Les nouvel|le|s technologi|e|s chang|ent notr|e façon de vivr|e,15.0,
P010_wo,A_parallel,wo,Xeetu njëkëram yi ëpp ci kanam dañuy soppi yoon wu ñu dëkk.,P010,FLORES-200 devtest,12,,,14.0,Xeetu njëkëram yi ëpp ci kanam dañuy soppi yoon wu ñu dëkk,12.0,Les nouvelles technologies changent notre façon de vivre.
P010_yo,A_parallel,yo,Ìmọ̀ ẹ̀rọ tuntun ń yí ọ̀nà tí a ń gbé ayé padà.,P010,FLORES-200 devtest,12,,,13.0,Ì|mọ̀ ẹ̀rọ tuntun ń yí ọ̀nà tí a ń gbé ayé padà,13.0,Les nouvelles technologies changent notre façon de vivre.
P010_sw,A_parallel,sw,Teknolojia mpya zinabadilisha njia yetu ya kuishi.,P010,FLORES-200 devtest,7,,9.0,9.0,Teknolojia mpya zi|na|badilisha njia yetu ya ku|ishi,10.0,Les nouvelles technologies changent notre façon de vivre.
P010_fon,A_parallel,fon,Nǔnywɛxɔ yɔyɔ̌ lɛ nɔ cí nǔ e mǐ nɔ wà gbɛ̀ mɛ tɔn.,P010,FLORES-200 devtest,13,,,15.0,Nǔ|nywɛ|xɔ yɔyɔ̌ lɛ nɔ cí nǔ e mǐ nɔ wà gbɛ̀ mɛ tɔn,15.0,Les nouvelles technologies changent notre façon de vivre.
P011_fr,A_parallel,fr,Le marché est ouvert chaque samedi matin.,P011,FLORES-200 devtest,7,,,11.0,Le march|é est ouver|t chaque samedi matin,9.0,
P011_wo,A_parallel,wo,Marché bi dafa jëlëndiku Aseer bu nekk suba.,P011,FLORES-200 devtest,8,,,9.0,Marché bi dafa jëlëndi|ku Aseer bu nekk suba,9.0,Le marché est ouvert chaque samedi matin.
P011_yo,A_parallel,yo,Ọjà ń ṣí gbogbo Àbámẹ́ta òwúrọ̀.,P011,FLORES-200 devtest,6,,,9.0,Ọjà ń ṣí gbogbo À|bámẹ́ta ò|wúrọ̀,8.0,Le marché est ouvert chaque samedi matin.
P011_sw,A_parallel,sw,Soko linafunguliwa kila Jumamosi asubuhi.,P011,FLORES-200 devtest,5,,7.0,7.0,Soko li|na|fungu|liwa kila Jumamosi asubuhi,8.0,Le marché est ouvert chaque samedi matin.
P011_fon,A_parallel,fon,Ayikúngban ɔ nɔ mɛ zǎnsínsɛn gbɛ̀ gbɛ̀.,P011,FLORES-200 devtest,7,,,11.0,Ayi|kún|gban ɔ nɔ mɛ zǎn|sín|sɛn gbɛ̀ gbɛ̀,11.0,Le marché est ouvert chaque samedi matin.
P012_fr,A_parallel,fr,Les étudiants préparent leurs examens avec sérieux.,P012,FLORES-200 devtest,7,,,14.0,Les étudiant|s prépar|ent leur|s examen|s avec sérieux,11.0,
P012_wo,A_parallel,wo,Jangalekat yi dañuy sëtu ci jàngam yu ne ci kanam ak xam xam.,P012,FLORES-200 devtest,13,,,15.0,Jangale|kat yi dañuy sëtu ci jàng|am yu ne ci kanam ak xam xam,15.0,Les étudiants préparent leurs examens avec sérieux.
P012_yo,A_parallel,yo,Àwọn akẹ́kọ̀ọ́ ń múrasílẹ̀ fún àwọn ìdánwò wọn pẹ̀lú ìsirárà.,P012,FLORES-200 devtest,10,,,14.0,Àwọn a|kẹ́kọ̀ọ́ ń mú|ra|sílẹ̀ fún àwọn ì|dánwò wọn pẹ̀lú ì|si|rárà,16.0,Les étudiants préparent leurs examens avec sérieux.
P012_sw,A_parallel,sw,Wanafunzi wanajitayarisha kwa mitihani yao kwa uzito.,P012,FLORES-200 devtest,7,,11.0,11.0,Wana|funzi wa|na|ji|tayarisha kwa mi|tahani yao kwa uzito,12.0,Les étudiants préparent leurs examens avec sérieux.
P012_fon,A_parallel,fon,Suklu mɛ lɛ nɔ wɛn azɔ bo nɔ d'alɔ ɖò zɔ̌sisa.,P012,FLORES-200 devtest,11,,,13.0,Su|klu mɛ lɛ nɔ wɛn a|zɔ bo nɔ d'alɔ ɖò zɔ̌|si|sa,15.0,Les étudiants préparent leurs examens avec sérieux.
P013_fr,A_parallel,fr,La paix est nécessaire pour le développement d'un pays.,P013,FLORES-200 devtest,9,,,14.0,La paix est nécessair|e pour le développ|e|ment d' un pay|s,14.0,
P013_wo,A_parallel,wo,Jam mooy nit ki bëgg a yor ngir dëkk bi dëkk.,P013,FLORES-200 devtest,11,,,11.0,Jam mooy nit ki bëgg a yor ngir dëkk bi dëkk,11.0,La paix est nécessaire pour le développement d'un pays.
P013_yo,A_parallel,yo,Àlàáfíà ṣe pàtàkì fún ìdàgbàsókè orílẹ̀-èdè kan.,P013,FLORES-200 devtest,7,,,14.0,À|làáfíà ṣe pàtàkì fún ì|dàgbà|sókè orí|lẹ̀-èdè kan,11.0,La paix est nécessaire pour le développement d'un pays.
P013_sw,A_parallel,sw,Amani inahitajika kwa maendeleo ya nchi.,P013,FLORES-200 devtest,6,,8.0,8.0,Amani i|na|hitajika kwa ma|endeleo ya nchi,9.0,La paix est nécessaire pour le développement d'un pays.
P013_fon,A_parallel,fon,Fífá nyí nǔ e hɛn hudo nú tò ɔ tɔn gbigbɔ.,P013,FLORES-200 devtest,11,,,13.0,Fí|fá nyí nǔ e hɛn hudo nú tò ɔ tɔn gbigbɔ,12.0,La paix est nécessaire pour le développement d'un pays.
P014_fr,A_parallel,fr,Les femmes jouent un rôle crucial dans le développement.,P014,FLORES-200 devtest,9,,,14.0,Les femm|e|s jou|ent un rôle crucial dans le développ|e|ment,14.0,
P014_wo,A_parallel,wo,Jigéen yi am solo bu dëgëër ci njëkëram bu dëkk.,P014,FLORES-200 devtest,10,,,11.0,Jigéen yi am solo bu dëgëër ci njëkëram bu dëkk,10.0,Les femmes jouent un rôle crucial dans le développement.
P014_yo,A_parallel,yo,Àwọn obìnrin ń kó ipa pàtàkì nínú ìdàgbàsókè.,P014,FLORES-200 devtest,8,,,12.0,Àwọn o|bìnrin ń kó ipa pàtàkì nínú ì|dàgbà|sókè,11.0,Les femmes jouent un rôle crucial dans le développement.
P014_sw,A_parallel,sw,Wanawake wana jukumu muhimu katika maendeleo.,P014,FLORES-200 devtest,6,,8.0,8.0,Wana|wake wana jukumu muhimu katika ma|endeleo,8.0,Les femmes jouent un rôle crucial dans le développement.
P014_fon,A_parallel,fon,Nyɔnu lɛ nɔ wà azɔ taji ɖò gbigbɔ mɛ.,P014,FLORES-200 devtest,9,,,11.0,Nyo|nu lɛ nɔ wà a|zɔ ta|ji ɖò gbigbɔ mɛ,12.0,Les femmes jouent un rôle crucial dans le développement.
P015_fr,A_parallel,fr,La musique africaine est riche en rythmes et en mélodies.,P015,FLORES-200 devtest,10,,,15.0,La musiqu|e african|e est rich|e en rhythm|e|s et en mélodie|s,16.0,
P015_wo,A_parallel,wo,Xoloor wu Afrig wi dafa jar xeetu waxtaan yi te yomb yi.,P015,FLORES-200 devtest,12,,,12.0,Xoloor wu Afrig wi dafa jar xeetu waxtaan yi te yomb yi,12.0,La musique africaine est riche en rythmes et en mélodies.
P015_yo,A_parallel,yo,Orin Áfíríkà jẹ ọlọ́rọ̀ nínú rítimù àti orin.,P015,FLORES-200 devtest,8,,,9.0,Orin Áfíríkà jẹ ọ|lọ́rọ̀ nínú rítimù àti orin,9.0,La musique africaine est riche en rythmes et en mélodies.
P015_sw,A_parallel,sw,Muziki wa Kiafrika una utajiri wa midundo na nyimbo.,P015,FLORES-200 devtest,9,,10.0,10.0,Muziki wa Ki|Afrika u|na utajiri wa mi|dundo na nyimbo,12.0,La musique africaine est riche en rythmes et en mélodies.
P015_fon,A_parallel,fon,Hɛn Afrique tɔn nyí nǔ nyanya e ɖè dindo kpo xó kpo.,P015,FLORES-200 devtest,12,,,14.0,Hɛn Afrique tɔn nyí nǔ nya|nya e ɖè dindo kpo xó kpo,13.0,La musique africaine est riche en rythmes et en mélodies.
P016_fr,A_parallel,fr,Il faut protéger l'environnement pour les générations futures.,P016,FLORES-200 devtest,8,,,14.0,Il faut protég|er l' environ|ne|ment pour les génération|s futur|e|s,15.0,
P016_wo,A_parallel,wo,Da fa war anu xam xam ci ndaw mi ngir njiit yi.,P016,FLORES-200 devtest,12,,,12.0,Da fa war anu xam xam ci ndaw mi ngir njiit yi,12.0,Il faut protéger l'environnement pour les générations futures.
P016_yo,A_parallel,yo,A gbọdọ daabobo àyíká fún àwọn ìran tó ń bọ̀.,P016,FLORES-200 devtest,10,,,13.0,A gbọdọ da|a|bo|bo à|yíká fún àwọn ì|ran tó ń bọ̀,15.0,Il faut protéger l'environnement pour les générations futures.
P016_sw,A_parallel,sw,Tunahitaji kulinda mazingira kwa vizazi vijavyo.,P016,FLORES-200 devtest,6,,9.0,9.0,Tu|na|hitaji ku|linda mazingira kwa vi|zazi vi|ja|vyo,12.0,Il faut protéger l'environnement pour les générations futures.
P016_fon,A_parallel,fon,Mǐ ɖó na gbí ayikúngban ɔ bɔ zǎngbeto lɛ na ɖu.,P016,FLORES-200 devtest,11,,,13.0,Mǐ ɖó na gbí ayi|kún|gban ɔ bɔ zǎn|gbeto lɛ na ɖu,14.0,Il faut protéger l'environnement pour les générations futures.
P017_fr,A_parallel,fr,Le football est le sport le plus populaire en Afrique.,P017,FLORES-200 devtest,10,,,14.0,Le football est le sport le plus populair|e en Afriqu|e,12.0,
P017_wo,A_parallel,wo,Foot mooy game wu ëpp ci Afrig.,P017,FLORES-200 devtest,7,,,7.0,Foot mooy game wu ëpp ci Afrig,7.0,Le football est le sport le plus populaire en Afrique.
P017_yo,A_parallel,yo,Bọ́ọ̀lù afẹsẹ jẹ eré ìdárayá tó gbajúmọ̀ jùlọ ní Áfíríkà.,P017,FLORES-200 devtest,10,,,14.0,Bọ́ọ̀lù a|fẹsẹ jẹ eré ì|dárayá tó gbajú|mọ̀ jùlọ ní Áfíríkà,13.0,Le football est le sport le plus populaire en Afrique.
P017_sw,A_parallel,sw,Soka ndilo mchezo maarufu zaidi barani Afrika.,P017,FLORES-200 devtest,7,,7.0,7.0,Soka ndilo m|chezo maarufu zaidi barani Afrika,8.0,Le football est le sport le plus populaire en Afrique.
P017_fon,A_parallel,fon,Fútibɔ̌ wɛ nyí ɖɔgbɔ taji ɖò Afrique.,P017,FLORES-200 devtest,7,,,8.0,Fú|ti|bɔ̌ wɛ nyí ɖɔ|gbɔ ta|ji ɖò Afrique,11.0,Le football est le sport le plus populaire en Afrique.
P018_fr,A_parallel,fr,Les traditions culturelles sont transmises de génération en génération.,P018,FLORES-200 devtest,9,,,17.0,Les tradition|s cultur|el|le|s son|t transmis|e|s de génération en génération,16.0,
P018_wo,A_parallel,wo,Xeeyu mbind mi dafa jël ci kanam ca biir mbokk yi.,P018,FLORES-200 devtest,11,,,11.0,Xeeyu mbind mi dafa jël ci kanam ca biir mbokk yi,11.0,Les traditions culturelles sont transmises de génération en génération.
P018_yo,A_parallel,yo,A ń gbé àwọn àṣà ìbílẹ̀ kálẹ̀ láti ìran sí ìran.,P018,FLORES-200 devtest,11,,,16.0,A ń gbé àwọn à|ṣà ì|bílẹ̀ kálẹ̀ láti ì|ran sí ì|ran,15.0,Les traditions culturelles sont transmises de génération en génération.
P018_sw,A_parallel,sw,Mila za kitamaduni zinapitishwa kutoka kizazi hadi kizazi.,P018,FLORES-200 devtest,8,,10.0,10.0,Mila za ki|tamaduni zi|na|pitishwa kutoka ki|zazi hadi ki|zazi,13.0,Les traditions culturelles sont transmises de génération en génération.
P018_fon,A_parallel,fon,Nǔkplɔnkplɔn tɔ lɛ nɔ yì sín zǎngbeto ɖokpo jɛ alɔ ɖevo.,P018,FLORES-200 devtest,11,,,16.0,Nǔ|kplɔn|kplɔn tɔ lɛ nɔ yì sín zǎn|gbeto ɖo|kpo jɛ alɔ ɖevo,15.0,Les traditions culturelles sont transmises de génération en génération.
P019_fr,A_parallel,fr,La radio est un moyen de communication important en zone rurale.,P019,FLORES-200 devtest,11,,,17.0,La radio est un moyen de commun|ic|ation important en zon|e rural|e,15.0,
P019_wo,A_parallel,wo,Radyo mooy yoon wu am solo ci dëkk bu wer.,P019,FLORES-200 devtest,10,,,10.0,Radyo mooy yoon wu am solo ci dëkk bu wer,10.0,La radio est un moyen de communication important en zone rurale.
P019_yo,A_parallel,yo,Rédíò jẹ ọ̀nà ìbáraẹniṣepọ̀ pàtàkì ní àgbègbè ìdílé.,P019,FLORES-200 devtest,8,,,16.0,Rédíò jẹ ọ̀nà ì|báraẹni|ṣepọ̀ pàtàkì ní à|gbègbè ì|dílé,12.0,La radio est un moyen de communication important en zone rurale.
P019_sw,A_parallel,sw,Redio ni njia muhimu ya mawasiliano katika maeneo ya vijijini.,P019,FLORES-200 devtest,10,,11.0,11.0,Redio ni njia muhimu ya ma|wasiliano katika ma|eneo ya vi|jijini,13.0,La radio est un moyen de communication important en zone rurale.
P019_fon,A_parallel,fon,Rédio wɛ nyí hɛn taji ɖò toxo mɛ.,P019,FLORES-200 devtest,8,,,9.0,Rédio wɛ nyí hɛn ta|ji ɖò toxo mɛ,9.0,La radio est un moyen de communication important en zone rurale.
P020_fr,A_parallel,fr,Les enfants ont droit à l'éducation dans tous les pays.,P020,FLORES-200 devtest,10,,,14.0,Les enfant|s on|t droit à l' éduc|ation dans tous les pay|s,15.0,
P020_wo,A_parallel,wo,Xale yi am sant ci jàng ci dëkk yépp.,P020,FLORES-200 devtest,9,,,9.0,Xale yi am sant ci jàng ci dëkk yépp,9.0,Les enfants ont droit à l'éducation dans tous les pays.
P020_yo,A_parallel,yo,Àwọn ọmọ ní ẹ̀tọ́ sí ẹ̀kọ́ ní gbogbo orílẹ̀-èdè.,P020,FLORES-200 devtest,9,,,13.0,Àwọn ọmọ ní ẹ̀|tọ́ sí ẹ̀|kọ́ ní gbogbo orí|lẹ̀-èdè,12.0,Les enfants ont droit à l'éducation dans tous les pays.
P020_sw,A_parallel,sw,Watoto wana haki ya elimu katika nchi zote.,P020,FLORES-200 devtest,8,,8.0,8.0,Wa|toto wa|na haki ya elimu katika nchi zote,10.0,Les enfants ont droit à l'éducation dans tous les pays.
P020_fon,A_parallel,fon,Vǐ lɛ ɖó nǔkplɔnkplɔn sí ɖò tò lɛ bǐ mɛ.,P020,FLORES-200 devtest,10,,,13.0,Vǐ lɛ ɖó nǔ|kplɔn|kplɔn sí ɖò tò lɛ bǐ mɛ,12.0,Les enfants ont droit à l'éducation dans tous les pays.
P021_fr,A_parallel,fr,La chaleur du soleil est intense en saison sèche.,P021,FLORES-200 devtest,9,,,13.0,La chaleur du soleil est intens|e en saison sèch|e,11.0,
P021_wo,A_parallel,wo,Tëdd bu jant bi dafa tang sëgën ci yaj yi.,P021,FLORES-200 devtest,10,,,10.0,Tëdd bu jant bi dafa tang sëgën ci yaj yi,10.0,La chaleur du soleil est intense en saison sèche.
P021_yo,A_parallel,yo,Ìgbóná oòrùn náà pọ̀ ní àkókò ọjọ́ ogbele.,P021,FLORES-200 devtest,8,,,11.0,Ì|gbóná oò|rùn náà pọ̀ ní à|kókò ọjọ́ ogbele,11.0,La chaleur du soleil est intense en saison sèche.
