id,langue,fichier_audio,transcription_ortho,transcription_ipa,traduction_fr,locuteur,source,paire_minimale,id_paire,ton_patron,conditions,duree_sec,qualite,notes
wol_011,wolof,wol_011.wav,mu ne du la may doomam ndax géwal nga,/mu ne du la maj doomam ⁿdax ɡéwal ᵑɡa/,il a dit qu'il ne vous donnerait pas son fils parce qu'il,L1_inconnu,alffa,non,,,studio,3.245,haute,
wol_012,wolof,wol_012.wav,su fekkee ne mu nga fa dinaa ko ko wax,/su fekkee ne mu ᵑɡa fa dinaa ko ko wax/,"et si vous êtes là, je vous dirai",L1_inconnu,alffa,non,,,studio,5.073,haute,
wol_013,wolof,wol_013.wav,parce que boo parcourir ree 1 kilomètre boo xam ne amul benn garab,/paɾt͡ʃe que boo paɾt͡ʃouɾiɾ ɾee 1 kilomètɾe boo xam ne amul benn ɡaɾab/,"si vous allez marcher un kilomètre, vous n'avez pas",L1_inconnu,kallama,non,,,studio,2.453,haute,
wol_014,wolof,wol_014.wav,sedd lañu nekk guddi gi dafay teel a dugg,/sedd laɲu nekk ɡuddi ɡi dafaj teel a duɡɡ/,"au milieu de la nuit, ils arrivent",L1_inconnu,alffa,non,,,studio,3.7,haute,
wol_015,wolof,wol_015.wav,Lycee Maurice Delafosse,/ljt͡ʃee mauɾit͡ʃe delafosse/,Lycée Maurice Delafosse,L1_inconnu,urban_bus,non,,,studio,3.024,haute,
wol_016,wolof,wol_016.wav,nan laay def ba dem Boulangerie marché mame Diarra,/nan laaj def ba dem boulaᵑɡeɾie maɾt͡ʃé mame diaɾɾa/,comment vais-je me rendre à Buenos Aires ?,L1_inconnu,urban_bus,non,,,studio,4.176,haute,
wol_017,wolof,wol_017.wav,Elton Ouest Foire,/elton ouest foiɾe/,Elton West Ferrari,L1_inconnu,urban_bus,non,,,studio,2.664,haute,
wol_018,wolof,wol_018.wav,Marché Taly Bu makk,/maɾt͡ʃé talj bu makk/,"D'autre part, Tally",L1_inconnu,urban_bus,non,,,studio,2.184,haute,
wol_019,wolof,wol_019.wav,léegi de yaay tegoo njaboot gu sew gi fi sa baay ba,/léeɡi de jaaj teɡoo ᵑd͡ʒaboot ɡu sew ɡi fi sa baaj ba/,"maintenant, vous êtes en charge de votre famille",L1_inconnu,alffa,non,,,studio,4.156,haute,
wol_020,wolof,wol_020.wav,CEM Hann,/t͡ʃem hann/,La lumière du CEM,L1_inconnu,urban_bus,non,,,studio,2.136,haute,
wol_021,wolof,wol_021.wav,parce que moo tax moo tax tey fële nële tey magasin ba amul benn intrant boo xamante ne nii desoon na fa muy intrant di matériel,/paɾt͡ʃe que moo tax moo tax tej fəle nəle tej maɡasin ba amul benn intɾant boo xamante ne nii desoon na fa muj intɾant di matéɾiel/,"pour cette raison, il est important de garder à l'esprit qu'il n'y a pas d'intrus et qu'il n'y a pas d'intrus.",L1_inconnu,kallama,non,,,studio,6.351,haute,
wol_022,wolof,wol_022.wav,Pharmacie Talibou Dabo,/phaɾmat͡ʃie talibou dabo/,Le Pharmacien de Tabou Dabo,L1_inconnu,urban_bus,non,,,studio,3.144,haute,
wol_023,wolof,wol_023.wav,su ma sañul xarab it sañ naa gërëm ñi ma daan may,/su ma saɲul xaɾab it saɲ naa ɡəɾəm ɲi ma daan maj/,si je n'ai pas le droit de dire merci à mon,L1_inconnu,alffa,non,,,studio,4.699,haute,
wol_024,wolof,wol_024.wav,billet yu bari yuñ jaay ci site en ligne yiy def anchere lu ci melni ebay wala craigslist yooyu ay billet parc-hopper yu xawa yàgg lañu te xaw nañu leen jëfandikoo,/billet ju baɾi juɲ d͡ʒaaj t͡ʃi site en liɡne jij def aⁿt͡ʃheɾe lu t͡ʃi melni ebaj wala t͡ʃɾaiɡslist jooju aj billet paɾt͡ʃ-hoppeɾ ju xawa jàɡɡ laɲu te xaw naɲu leen d͡ʒəfaⁿdikoo/,il y a beaucoup de boutiques en ligne qui existent depuis longtemps et qui existent depuis longtemps.,L1_inconnu,fleurs,non,,,studio,17.04,haute,
wol_025,wolof,wol_025.wav,loolu aussi day gën a dem ba moom rey suufam si,/loolu aussi daj ɡən a dem ba moom ɾej suufam si/,il serait préférable pour lui de sortir et de tuer son,L1_inconnu,kallama,non,,,studio,2.391,haute,
wol_026,wolof,wol_026.wav,benn genre ngelaw boo xam ni moom la ñuy wax évapotranspiration,/benn ɡenɾe ᵑɡelaw boo xam ni moom la ɲuj wax évapotɾanspiɾation/,il existe un type de vent connu sous le nom d'évapotranspiration,L1_inconnu,kallama,non,,,studio,3.344,haute,
wol_027,wolof,wol_027.wav,laaj na nga leeral bu baax sa wax ji nànduma ko bu baax,/laad͡ʒ na ᵑɡa leeɾal bu baax sa wax d͡ʒi nàⁿduma ko bu baax/,je veux que vous soyez clair sur ce que vous dites,L1_inconnu,alffa,non,,,studio,4.72,haute,
wol_028,wolof,wol_028.wav,ñépp a mën jot ci leeraay mennum mbir mu taxaw ci yoonu jubluwaay mooy sunu taasiyoŋ ak ñakka woolu sunu bopp,/ɲépp a mən d͡ʒot t͡ʃi leeɾaaj mennum ᵐbiɾ mu taxaw t͡ʃi joonu d͡ʒubluwaaj mooj sunu taasijoŋ ak ɲakka woolu sunu bopp/,"nous avons tous un rôle à jouer dans nos vies, et nous avons tous un rôle à jouer dans nos vies.",L1_inconnu,fleurs,non,,,studio,11.34,haute,
wol_029,wolof,wol_029.wav,Pharmacie Ibrahima Niass,/phaɾmat͡ʃie ibɾahima niass/,La pharmacie d'Ibrahim Niass,L1_inconnu,urban_bus,non,,,studio,5.496,haute,
wol_030,wolof,wol_030.wav,te fi mu ne nii la ma leen waxoon rek mooy développement sénégal ci suuf la jugee jëm ci kaw,/te fi mu ne nii la ma leen waxoon ɾek mooj développement sénéɡal t͡ʃi suuf la d͡ʒuɡee d͡ʒəm t͡ʃi kaw/,c'est ce que je voulais dire quand je vous ai dit que le développement de la terre est le résultat de,L1_inconnu,kallama,non,,,studio,5.52,haute,
wol_031,wolof,wol_031.wav,donc xamal na leen mbir yi kat nii la demee,/doⁿt͡ʃ xamal na leen ᵐbiɾ ji kat nii la demee/,il ne vous a pas dit ces choses,L1_inconnu,kallama,non,,,studio,2.739,haute,
wol_032,wolof,wol_032.wav,sa mbaal mi jén yu ndaw rekk la mëna jàpp,/sa ᵐbaal mi d͡ʒén ju ⁿdaw ɾekk la məna d͡ʒàpp/,vous ne pouvez obtenir qu'une petite quantité de,L1_inconnu,alffa,non,,,studio,4.55,haute,
wol_033,wolof,wol_033.wav,elimaan warula def lu nit ñi di àññ,/elimaan waɾula def lu nit ɲi di àɲɲ/,elma n'a rien à faire,L1_inconnu,alffa,non,,,studio,3.494,haute,
wol_034,wolof,wol_034.wav,alal yu baré yaram vu vér à ko gen,/alal ju baɾé jaɾam vu véɾ à ko ɡen/,les trésors du corps,L1_inconnu,alffa,non,,,studio,5.428,haute,
wol_035,wolof,wol_035.wav,man boog ci man nga xam ni maay yëngu ci wàllu météo,/man booɡ t͡ʃi man ᵑɡa xam ni maaj jəᵑɡu t͡ʃi wàllu météo/,si vous savez ce que je ressens à propos de la,L1_inconnu,kallama,non,,,studio,3.022,haute,
