sentence_id,subcorpus,language,langue,text,parallel_group,source,num_words,num_morphemes,n_morphemes_seg,n_morphemes_ref,feature,morphemes_detail,traduction_fr,tokenizer,n_tokens,tokens_detail,fertility_word,fertility_morpheme,morpheme_coverage,overtokenization_pct
P002_fr,A_parallel,fr,Français,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",P002,bible,17,19.0,21.0,21.0,,Tout par lui a êtr|é fait et sans lui n' a êtr|é fait rien de ce qui exist|e,,tiktoken,33,"T|out|par|lu|i|a|é|té|fa|it|,|et|s|ans|lu|i|n|'|a|é|té|fa|it|ri|en|de|ce|qui|ex|is|te|.",1.941,1.571,0.636,57.1
P002_fr,A_parallel,fr,Français,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",P002,bible,17,19.0,21.0,21.0,,Tout par lui a êtr|é fait et sans lui n' a êtr|é fait rien de ce qui exist|e,,sentencepiece,35,"T|out|par|lu|i|a|é|té|fa|it|,|et|s|ans|lu|i|n|'|a|é|té|fa|it|ri|en|de|c|e|qui|ex|is|te|.",2.059,1.667,0.6,66.7
P002_wo,A_parallel,wo,Wolof,Lépp ci Kàddu gi lañu ko sàkke. Sàkkeesul dara lu ñu sàkkewul ci moom.,P002,bible,14,17.0,17.0,17.0,,Lépp ci Kàddu gi lañu ko sàkke Sàkke|es|ul dara lu ñu sàkke|wul ci moom,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",tiktoken,29,L|épp|ci|K|à|dd|u|gi|la|ñu|ko|sàkk|e|.|S|àkk|e|es|ul|dara|lu|ñu|sàkk|ew|ul|ci|mo|om|.,2.071,1.706,0.586,70.6
P002_wo,A_parallel,wo,Wolof,Lépp ci Kàddu gi lañu ko sàkke. Sàkkeesul dara lu ñu sàkkewul ci moom.,P002,bible,14,17.0,17.0,17.0,,Lépp ci Kàddu gi lañu ko sàkke Sàkke|es|ul dara lu ñu sàkke|wul ci moom,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",sentencepiece,33,L|épp|ci|K|à|dd|u|gi|la|ñu|ko|s|àkk|e|.|S|àkk|e|es|ul|da|ra|lu|ñu|s|àkk|e|w|ul|ci|mo|om|.,2.357,1.941,0.515,94.1
P002_yo,A_parallel,yo,Yoruba,Nípasẹ̀ rẹ̀ ni a dá ohun gbogbo; lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá.,P002,bible,21,20.0,22.0,22.0,,Ní|pasẹ̀ rẹ̀ ni a dá ohun gbogbo lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",tiktoken,30,Ní|p|as|ẹ̀|rẹ̀|ni|a|dá|o|hun|gbogbo|;|lẹ́yìn|rẹ̀|a|kò|s|ì|dá|o|hun|kan|nínú|o|hun|tí|a|ti|dá|.,1.429,1.364,0.733,36.4
P002_yo,A_parallel,yo,Yoruba,Nípasẹ̀ rẹ̀ ni a dá ohun gbogbo; lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá.,P002,bible,21,20.0,22.0,22.0,,Ní|pasẹ̀ rẹ̀ ni a dá ohun gbogbo lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",sentencepiece,33,Ní|p|as|ẹ̀|rẹ̀|ni|a|dá|o|h|un|gbogbo|;|lẹ́yìn|rẹ̀|a|kò|s|ì|dá|o|h|un|kan|nínú|o|h|un|tí|a|ti|dá|.,1.571,1.5,0.667,50.0
P002_sw,A_parallel,sw,Swahili,Kwa njia yake vitu vyote viliumbwa; hakuna hata kiumbe kimoja kilichoumbwa pasipo yeye.,P002,bible,13,7.0,21.0,21.0,,Kwa njia yake vi|tu vyote vi|li|umbwa hakuna hata ki|umbe ki|moja ki|li|cho|umbwa pasipo yeye,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",tiktoken,33,K|wa|njia|ya|ke|v|itu|vyote|vili|um|bwa|;|ha|k|una|ha|ta|ki|umbe|k|im|oja|kili|ch|ou|m|bwa|pa|si|po|ye|ye|.,2.538,1.571,0.636,57.1
P002_sw,A_parallel,sw,Swahili,Kwa njia yake vitu vyote viliumbwa; hakuna hata kiumbe kimoja kilichoumbwa pasipo yeye.,P002,bible,13,7.0,21.0,21.0,,Kwa njia yake vi|tu vyote vi|li|umbwa hakuna hata ki|umbe ki|moja ki|li|cho|umbwa pasipo yeye,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",sentencepiece,34,K|wa|njia|ya|ke|v|itu|vyote|vili|um|bwa|;|ha|k|una|ha|ta|ki|umbe|k|im|oja|kili|ch|ou|m|bwa|pa|si|po|y|e|ye|.,2.615,1.619,0.618,61.9
P002_fon,A_parallel,fon,Fongbé,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ́ mɛ lɛ́ɛ bǐ; è blǒ nǔ ɖěbǔ é mɛ vo ǎ.,P002,bible,23,23.0,23.0,23.0,,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ mɛ lɛ bǐ è blǒ nǔ ɖěbǔ é mɛ vo ǎ,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",tiktoken,34,É|jí|wɛ|è|gbɔn|b|ó|bló|nǔ|e|ɖo|gbɛ|ɔ|́|mɛ|lɛ́|ɛ|bǐ|;|è|bl|ǒ|nǔ|ɖ|ě|b|ǔ|é|mɛ|v|o|ǎ|.,1.478,1.478,0.676,47.8
P002_fon,A_parallel,fon,Fongbé,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ́ mɛ lɛ́ɛ bǐ; è blǒ nǔ ɖěbǔ é mɛ vo ǎ.,P002,bible,23,23.0,23.0,23.0,,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ mɛ lɛ bǐ è blǒ nǔ ɖěbǔ é mɛ vo ǎ,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",sentencepiece,37,É|jí|wɛ|è|gbɔn|b|ó|bló|nǔ|e|ɖ|o|gb|ɛ|ɔ|́|mɛ|lɛ́|ɛ|bǐ|;|è|b|l|ǒ|nǔ|ɖ|ě|b|ǔ|é|mɛ|v|o|ǎ|.,1.609,1.609,0.622,60.9
P003_fr,A_parallel,fr,Français,Il était au commencement en Dieu.,P003,bible,6,10.0,8.0,8.0,,Il êtr|ait au commence|ment en Dieu,,tiktoken,14,Il|é|ta|it|au|com|m|enc|ement|en|D|i|eu|.,2.333,1.75,0.571,75.0
P003_fr,A_parallel,fr,Français,Il était au commencement en Dieu.,P003,bible,6,10.0,8.0,8.0,,Il êtr|ait au commence|ment en Dieu,,sentencepiece,16,Il|é|ta|it|a|u|com|m|en|c|ement|en|D|i|eu|.,2.667,2.0,0.5,100.0
P003_wo,A_parallel,wo,Wolof,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla.,P003,bible,9,9.0,9.0,9.0,,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla,Il était au commencement en Dieu.,tiktoken,20,N|j|àl|b|éen|ga|f|ekk|na|K|à|dd|u|gi|nekk|ak|Y|àl|la|.,2.222,2.222,0.45,122.2
P003_wo,A_parallel,wo,Wolof,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla.,P003,bible,9,9.0,9.0,9.0,,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla,Il était au commencement en Dieu.,sentencepiece,25,N|j|à|l|b|é|en|ga|f|e|kk|na|K|à|dd|u|gi|nekk|ak|Y|à|l|l|a|.,2.778,2.778,0.36,177.8
P003_yo,A_parallel,yo,Yoruba,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní àtètèkọ́ṣe.,P003,bible,9,10.0,11.0,11.0,,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní à|tètè|kọ́ṣe,Il était au commencement en Dieu.,tiktoken,20,Ò|un|ni|ó|s|ì|wà|pẹ̀lú|Ọ|l|ọ́r|un|ní|à|tè|tè|kọ́|ṣe|.,2.222,1.818,0.55,81.8
P003_yo,A_parallel,yo,Yoruba,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní àtètèkọ́ṣe.,P003,bible,9,10.0,11.0,11.0,,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní à|tètè|kọ́ṣe,Il était au commencement en Dieu.,sentencepiece,24,Ò|un|ni|ó|s|ì|wà|pẹ̀lú|Ọ|l|ọ́|r|un|ní|à|t|è|t|è|kọ́|ṣ|e|.,2.667,2.182,0.458,118.2
P003_sw,A_parallel,sw,Swahili,Tangu mwanzo Neno alikuwa na Mungu.,P003,bible,6,11.0,8.0,8.0,,Tangu mwanzo Neno a|li|kuwa na Mungu,Il était au commencement en Dieu.,tiktoken,14,T|angu|mw|anzo|N|en|o|ali|kuwa|na|M|un|gu|.,2.333,1.75,0.571,75.0
P003_sw,A_parallel,sw,Swahili,Tangu mwanzo Neno alikuwa na Mungu.,P003,bible,6,11.0,8.0,8.0,,Tangu mwanzo Neno a|li|kuwa na Mungu,Il était au commencement en Dieu.,sentencepiece,16,T|angu|mw|anzo|N|en|o|al|i|kuwa|na|M|un|g|u|.,2.667,2.0,0.5,100.0
P003_fon,A_parallel,fon,Fongbé,Xó énɛ́ kó ɖe tɛgbɛ xá Mawu ɖo bǐbɛ́mɛ.,P003,bible,9,11.0,11.0,11.0,,Xó énɛ kó ɖe tɛgbɛ xá Mawu ɖo bǐ|bɛ́|mɛ,Il était au commencement en Dieu.,tiktoken,17,X|ó|én|ɛ́|kó|ɖe|tɛ|gbɛ|xá|Ma|wu|ɖo|bǐ|b|ɛ́|mɛ|.,1.889,1.545,0.647,54.5
P003_fon,A_parallel,fon,Fongbé,Xó énɛ́ kó ɖe tɛgbɛ xá Mawu ɖo bǐbɛ́mɛ.,P003,bible,9,11.0,11.0,11.0,,Xó énɛ kó ɖe tɛgbɛ xá Mawu ɖo bǐ|bɛ́|mɛ,Il était au commencement en Dieu.,sentencepiece,21,X|ó|én|ɛ́|kó|ɖ|e|t|ɛ|gb|ɛ|xá|Ma|wu|ɖ|o|bǐ|b|ɛ́|mɛ|.,2.333,1.909,0.524,90.9
P004_fr,A_parallel,fr,Français,"En lui était la vie, et la vie était la lumière des hommes.",P004,bible,13,17.0,17.0,17.0,,En lui êtr|ait la vie et la vie êtr|ait la lumièr|e des homme|s,,tiktoken,25,"E|n|lu|i|é|ta|it|la|vie|,|et|la|vie|é|ta|it|la|l|umi|ère|des|h|om|mes|.",1.923,1.471,0.68,47.1
P004_fr,A_parallel,fr,Français,"En lui était la vie, et la vie était la lumière des hommes.",P004,bible,13,17.0,17.0,17.0,,En lui êtr|ait la vie et la vie êtr|ait la lumièr|e des homme|s,,sentencepiece,25,"E|n|lu|i|é|ta|it|la|vie|,|et|la|vie|é|ta|it|la|l|umi|ère|des|h|om|mes|.",1.923,1.471,0.68,47.1
P004_wo,A_parallel,wo,Wolof,"Ci moom la dund nekk, te dund dig leer, ñeel nit ñi.",P004,bible,12,12.0,12.0,12.0,,Ci moom la dund nekk te dund dig leer ñeel nit ñi,"En lui était la vie, et la vie était la lumière des hommes.",tiktoken,23,"Ci|mo|om|la|dun|d|nekk|,|te|dun|d|d|ig|le|er|,|ñ|e|el|nit|ñ|i|.",1.917,1.917,0.522,91.7
P004_wo,A_parallel,wo,Wolof,"Ci moom la dund nekk, te dund dig leer, ñeel nit ñi.",P004,bible,12,12.0,12.0,12.0,,Ci moom la dund nekk te dund dig leer ñeel nit ñi,"En lui était la vie, et la vie était la lumière des hommes.",sentencepiece,25,"Ci|mo|om|la|d|un|d|nekk|,|te|d|un|d|d|ig|le|er|,|ñ|e|el|nit|ñ|i|.",2.083,2.083,0.48,108.3
P004_yo,A_parallel,yo,Yoruba,"Nínú rẹ̀ ni ìyè wà, ìyè yìí náà sì ni ìmọ́lẹ̀ aráyé.",P004,bible,12,13.0,14.0,14.0,,Nínú rẹ̀ ni ìyè wà ìyè yìí náà sì ni ì|mọ́lẹ̀ ar|ayé,"En lui était la vie, et la vie était la lumière des hommes.",tiktoken,22,"Ní|nú|rẹ̀|ni|ì|yè|wà|,|ì|yè|yì|í|náà|s|ì|ni|ì|mọ́|lẹ̀|ar|áyé|.",1.833,1.571,0.636,57.1
P004_yo,A_parallel,yo,Yoruba,"Nínú rẹ̀ ni ìyè wà, ìyè yìí náà sì ni ìmọ́lẹ̀ aráyé.",P004,bible,12,13.0,14.0,14.0,,Nínú rẹ̀ ni ìyè wà ìyè yìí náà sì ni ì|mọ́lẹ̀ ar|ayé,"En lui était la vie, et la vie était la lumière des hommes.",sentencepiece,25,"Ní|nú|rẹ̀|ni|ì|y|è|wà|,|ì|y|è|yì|í|náà|s|ì|ni|ì|m|ọ́|lẹ̀|ar|áyé|.",2.083,1.786,0.56,78.6
P004_sw,A_parallel,sw,Swahili,Yeye alikuwa chanzo cha uhai na uhai huo ulikuwa mwanga wa watu.,P004,bible,12,7.0,18.0,18.0,,Yeye a|li|kuwa chanzo cha u|hai na u|hai huo u|li|kuwa mwanga wa watu,"En lui était la vie, et la vie était la lumière des hommes.",tiktoken,22,Y|e|ye|ali|kuwa|chanzo|cha|u|hai|na|u|hai|hu|o|uli|kuwa|mw|anga|wa|watu|.,1.833,1.222,0.818,22.2
P004_sw,A_parallel,sw,Swahili,Yeye alikuwa chanzo cha uhai na uhai huo ulikuwa mwanga wa watu.,P004,bible,12,7.0,18.0,18.0,,Yeye a|li|kuwa chanzo cha u|hai na u|hai huo u|li|kuwa mwanga wa watu,"En lui était la vie, et la vie était la lumière des hommes.",sentencepiece,25,Y|e|ye|al|i|kuwa|chanzo|cha|u|ha|i|na|u|ha|i|hu|o|uli|kuwa|mw|anga|wa|watu|.,2.083,1.389,0.72,38.9
P004_fon,A_parallel,fon,Fongbé,"É mɛ wɛ gbɛ ɖe, bɔ gbɛ ɔ́ ka nɔ ná wěziza gbɛtɔ́.",P004,bible,13,14.0,15.0,15.0,,É mɛ wɛ gbɛ ɖe bɔ gbɛ ɔ ka nɔ ná wɛ|ziza gbɛ|tɔ,"En lui était la vie, et la vie était la lumière des hommes.",tiktoken,21,"É|mɛ|wɛ|gbɛ|ɖe|,|bɔ|gbɛ|ɔ|́|ka|nɔ|ná|w|ě|zi|za|gbɛ|t|ɔ́|.",1.615,1.4,0.714,40.0
P004_fon,A_parallel,fon,Fongbé,"É mɛ wɛ gbɛ ɖe, bɔ gbɛ ɔ́ ka nɔ ná wěziza gbɛtɔ́.",P004,bible,13,14.0,15.0,15.0,,É mɛ wɛ gbɛ ɖe bɔ gbɛ ɔ ka nɔ ná wɛ|ziza gbɛ|tɔ,"En lui était la vie, et la vie était la lumière des hommes.",sentencepiece,25,"É|mɛ|wɛ|gb|ɛ|ɖ|e|,|bɔ|gb|ɛ|ɔ|́|ka|nɔ|ná|w|ě|zi|za|gb|ɛ|t|ɔ́|.",1.923,1.667,0.6,66.7
P005_fr,A_parallel,fr,Français,"Il vint chez lui, et les siens ne l'ont pas reçu.",P005,bible,11,13.0,16.0,16.0,,Il vin|t chez lui et les sien|s ne l' on|t pas reç|u,,tiktoken,21,"Il|v|int|ch|ez|lu|i|,|et|les|si|ens|ne|l|'|ont|pas|re|ç|u|.",1.909,1.312,0.762,31.2
P005_fr,A_parallel,fr,Français,"Il vint chez lui, et les siens ne l'ont pas reçu.",P005,bible,11,13.0,16.0,16.0,,Il vin|t chez lui et les sien|s ne l' on|t pas reç|u,,sentencepiece,24,"Il|v|in|t|ch|e|z|lu|i|,|et|les|si|ens|ne|l|'|ont|pa|s|re|ç|u|.",2.182,1.5,0.667,50.0
P005_wo,A_parallel,wo,Wolof,"Ci ñoñam la ñëw, waaye ñoñam a ko dalalul.",P005,bible,9,11.0,12.0,12.0,,Ci ñoñ|am la ñëw waaye ñoñ|am a ko dalal|ul,"Il vint chez lui, et les siens ne l'ont pas reçu.",tiktoken,22,"Ci|ñ|o|ñ|am|la|ñëw|,|wa|ay|e|ñ|o|ñ|am|a|ko|d|al|al|ul|.",2.444,1.833,0.545,83.3
P005_wo,A_parallel,wo,Wolof,"Ci ñoñam la ñëw, waaye ñoñam a ko dalalul.",P005,bible,9,11.0,12.0,12.0,,Ci ñoñ|am la ñëw waaye ñoñ|am a ko dalal|ul,"Il vint chez lui, et les siens ne l'ont pas reçu.",sentencepiece,22,"Ci|ñ|o|ñ|am|la|ñëw|,|wa|ay|e|ñ|o|ñ|am|a|ko|d|al|al|ul|.",2.444,1.833,0.545,83.3
P005_yo,A_parallel,yo,Yoruba,"Ó tọ àwọn tirẹ̀ wá, àwọn tirẹ̀ kò sì gbà á.",P005,bible,11,11.0,11.0,11.0,,Ó tọ àwọn tirẹ̀ wá àwọn tirẹ̀ kò sì gbà á,"Il vint chez lui, et les siens ne l'ont pas reçu.",tiktoken,20,"Ó|t|ọ|àwọn|t|ir|ẹ̀|wá|,|àwọn|t|ir|ẹ̀|kò|s|ì|gbà|á|.",1.818,1.818,0.55,81.8
P005_yo,A_parallel,yo,Yoruba,"Ó tọ àwọn tirẹ̀ wá, àwọn tirẹ̀ kò sì gbà á.",P005,bible,11,11.0,11.0,11.0,,Ó tọ àwọn tirẹ̀ wá àwọn tirẹ̀ kò sì gbà á,"Il vint chez lui, et les siens ne l'ont pas reçu.",sentencepiece,20,"Ó|t|ọ|àwọn|t|ir|ẹ̀|wá|,|àwọn|t|ir|ẹ̀|kò|s|ì|gbà|á|.",1.818,1.818,0.55,81.8
P005_sw,A_parallel,sw,Swahili,"Alikuja katika nchi yake mwenyewe, nao walio wake hawakumpokea.",P005,bible,9,11.0,16.0,16.0,,A|li|kuja katika nchi yake mwenyewe nao wa|lio wake ha|wa|ku|m|pokea,"Il vint chez lui, et les siens ne l'ont pas reçu.",tiktoken,24,"A|li|ku|ja|katika|nchi|ya|ke|mwen|yew|e|,|na|o|wali|o|wa|ke|ha|wa|kum|poke|a|.",2.667,1.5,0.667,50.0
P005_sw,A_parallel,sw,Swahili,"Alikuja katika nchi yake mwenyewe, nao walio wake hawakumpokea.",P005,bible,9,11.0,16.0,16.0,,A|li|kuja katika nchi yake mwenyewe nao wa|lio wake ha|wa|ku|m|pokea,"Il vint chez lui, et les siens ne l'ont pas reçu.",sentencepiece,26,"A|li|ku|ja|katika|nchi|ya|ke|mw|en|yew|e|,|na|o|wali|o|wa|ke|ha|wa|ku|m|poke|a|.",2.889,1.625,0.615,62.5
P005_fon,A_parallel,fon,Fongbé,"É wá mɛ tɔn lɛ́ɛ gɔ́n, bɔ mɛ tɔn lɛ́ɛ ka yí i ǎ.",P005,bible,14,14.0,14.0,14.0,,É wá mɛ tɔn lɛ gɔn bɔ mɛ tɔn lɛ ka yí i ǎ,"Il vint chez lui, et les siens ne l'ont pas reçu.",tiktoken,20,"É|wá|mɛ|tɔn|lɛ́|ɛ|g|ɔ́n|,|bɔ|mɛ|tɔn|lɛ́|ɛ|ka|yí|i|ǎ|.",1.429,1.429,0.7,42.9
P005_fon,A_parallel,fon,Fongbé,"É wá mɛ tɔn lɛ́ɛ gɔ́n, bɔ mɛ tɔn lɛ́ɛ ka yí i ǎ.",P005,bible,14,14.0,14.0,14.0,,É wá mɛ tɔn lɛ gɔn bɔ mɛ tɔn lɛ ka yí i ǎ,"Il vint chez lui, et les siens ne l'ont pas reçu.",sentencepiece,20,"É|wá|mɛ|tɔn|lɛ́|ɛ|g|ɔ́n|,|bɔ|mɛ|tɔn|lɛ́|ɛ|ka|yí|i|ǎ|.",1.429,1.429,0.7,42.9
P006_fr,A_parallel,fr,Français,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",P006,bible,12,14.0,14.0,14.0,,Il y eut un homme envoy|é de Dieu son nom êtr|ait Jean,,tiktoken,26,"Il|y|e|ut|un|h|om|me|,|en|vo|yé|de|D|i|eu|;|son|nom|é|ta|it|J|e|an|.",2.167,1.857,0.538,85.7
P006_fr,A_parallel,fr,Français,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",P006,bible,12,14.0,14.0,14.0,,Il y eut un homme envoy|é de Dieu son nom êtr|ait Jean,,sentencepiece,29,"Il|y|e|ut|un|h|om|me|,|en|vo|y|é|de|D|i|eu|;|s|on|n|om|é|ta|it|J|e|an|.",2.417,2.071,0.483,107.1
P006_wo,A_parallel,wo,Wolof,"Am na nit ku Yàlla yebal, ñu di ko wax Yaxya.",P006,bible,11,11.0,11.0,11.0,,Am na nit ku Yàlla yebal ñu di ko wax Yaxya,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",tiktoken,19,"Am|na|nit|ku|Y|àl|la|y|eb|al|,|ñu|di|ko|wax|Ya|x|ya|.",1.727,1.727,0.579,72.7
P006_wo,A_parallel,wo,Wolof,"Am na nit ku Yàlla yebal, ñu di ko wax Yaxya.",P006,bible,11,11.0,11.0,11.0,,Am na nit ku Yàlla yebal ñu di ko wax Yaxya,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",sentencepiece,23,"A|m|na|nit|ku|Y|à|l|l|a|y|e|b|al|,|ñu|di|ko|wax|Ya|x|ya|.",2.091,2.091,0.478,109.1
P006_yo,A_parallel,yo,Yoruba,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá; orúkọ ẹni tí ń jẹ́ Johanu.,P006,bible,16,16.0,16.0,16.0,,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá orúkọ ẹni tí ń jẹ́ Johanu,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",tiktoken,28,Ọ|kùn|rin|kan|wà|tí|a|r|án|láti|ọ̀dọ̀|Ọ|l|ọ́r|un|wá|;|orúkọ|ẹni|tí|ń|j|ẹ́|J|o|han|u|.,1.75,1.75,0.571,75.0
P006_yo,A_parallel,yo,Yoruba,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá; orúkọ ẹni tí ń jẹ́ Johanu.,P006,bible,16,16.0,16.0,16.0,,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá orúkọ ẹni tí ń jẹ́ Johanu,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",sentencepiece,31,Ọ|k|ùn|rin|kan|wà|tí|a|r|án|láti|ọ̀dọ̀|Ọ|l|ọ́|r|un|wá|;|orúkọ|ẹni|tí|ń|j|ẹ́|J|o|h|an|u|.,1.938,1.938,0.516,93.8
P006_sw,A_parallel,sw,Swahili,Mungu alimtuma mtu mmoja jina lake Yohane.,P006,bible,7,8.0,10.0,10.0,,Mungu a|li|m|tuma mtu mmoja jina lake Yohane,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",tiktoken,19,M|un|gu|alim|tum|a|m|tu|m|moja|j|ina|la|ke|Y|o|h|ane|.,2.714,1.9,0.526,90.0
