id,subcorpus,language,parallel_group,text,num_words,num_morphemes,n_morphemes_seg,morphemes_detail,traduction_fr
P005_yo,A_parallel,yo,P005,"Ó tọ àwọn tirẹ̀ wá, àwọn tirẹ̀ kò sì gbà á. ",11,11.0,11.0,Ó tọ àwọn tirẹ̀ wá àwọn tirẹ̀ kò sì gbà á,"Il vint chez lui, et les siens ne l'ont pas reçu."
P006_fon,A_parallel,fon,P006," Mawu sɛ́ mɛɖé dó, bɔ nyǐkɔ tɔn nyí Jǎan .",9,10.0,11.0,Mawu sɛ́ mɛ|ɖé dó bɔ nyǐ|kɔ tɔn nyí Jǎan,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P006_fr,A_parallel,fr,P006,"Il y eut un homme, envoyé de Dieu; son nom était Jean.",12,14.0,14.0,Il y eut un homme envoy|é de Dieu son nom êtr|ait Jean,
P006_sw,A_parallel,sw,P006,Mungu alimtuma mtu mmoja jina lake Yohane.,7,8.0,10.0,Mungu a|li|m|tuma mtu mmoja jina lake Yohane,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P006_wo,A_parallel,wo,P006,"Am na nit ku Yàlla yebal, ñu di ko wax Yaxya. ",11,11.0,11.0,Am na nit ku Yàlla yebal ñu di ko wax Yaxya,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P006_yo,A_parallel,yo,P006,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá; orúkọ ẹni tí ń jẹ́ Johanu.,16,16.0,16.0,Ọkùnrin kan wà tí a rán láti ọ̀dọ̀ Ọlọ́run wá orúkọ ẹni tí ń jẹ́ Johanu,"Il y eut un homme, envoyé de Dieu; son nom était Jean."
P007_fon,A_parallel,fon,P007,Nɔxuanú yɔyɔ̌ e xlɛ́ ɔ ko d'alɔ bo hwlɛn gbɛ̀ wema gègě.,12,14.0,15.0,Nɔ|xua|nú yɔyɔ̌ e xlɛ́ ɔ ko d'alɔ bo hwlɛn gbɛ̀ we|ma gègě,La médecine moderne a permis de sauver de nombreuses vies.
P007_fr,A_parallel,fr,P007,La médecine moderne a permis de sauver de nombreuses vies.,10,14.0,17.0,La médecin|e modern|e a permi|s de sauv|er de nombreus|e|s vie|s,
P007_sw,A_parallel,sw,P007,Dawa ya kisasa imesaidia kuokoa maisha mengi.,7,9.0,11.0,Dawa ya ki|sasa i|me|saidia ku|okoa maisha mengi,La médecine moderne a permis de sauver de nombreuses vies.
P007_wo,A_parallel,wo,P007,Dëgëm bu yore bi dafa mën a dëkk yoon yi ngir méngal xel.,13,14.0,13.0,Dëgëm bu yore bi dafa mën a dëkk yoon yi ngir méngal xel,La médecine moderne a permis de sauver de nombreuses vies.
P007_yo,A_parallel,yo,P007,Ìmọ̀ ìjìnlẹ̀ ogún òde òní ti gbà ọ̀pọ̀ ẹ̀mí là.,10,11.0,12.0,Ì|mọ̀ ì|jìnlẹ̀ ogún òde òní ti gbà ọ̀pọ̀ ẹ̀mí là,La médecine moderne a permis de sauver de nombreuses vies.
P008_fon,A_parallel,fon,P008,Mɛxotɔ lɛ wɛ nyí nukɔnmɛ tɔn.,6,8.0,10.0,Mɛ|xo|tɔ lɛ wɛ nyí nu|kɔn|mɛ tɔn,Les jeunes sont l'avenir de la société.
P008_fr,A_parallel,fr,P008,Les jeunes sont l'avenir de la société.,7,10.0,12.0,Les jeun|e|s son|t l' aven|ir de la société,
P008_sw,A_parallel,sw,P008,Vijana ndio mustakabali wa jamii.,5,5.0,6.0,Vi|jana ndio mustakabali wa jamii,Les jeunes sont l'avenir de la société.
P008_wo,A_parallel,wo,P008,Reew mi mooy yëngël bu suukandiku.,6,7.0,7.0,Reew mi mooy yëngël bu suukan|diku,Les jeunes sont l'avenir de la société.
P008_yo,A_parallel,yo,P008,Àwọn ọ̀dọ́ ni ọjọ́ iwájú àwùjọ.,6,8.0,7.0,Àwọn ọ̀dọ́ ni ọjọ́ iwájú à|wùjọ,Les jeunes sont l'avenir de la société.
P009_fon,A_parallel,fon,P009,Zɔ gbɛya ɔ nɔ nyí xwégbe nú suklu wema gègě.,10,13.0,14.0,Zɔ gbɛ|ya ɔ nɔ nyí xwé|gbe nú su|klu we|ma gègě,La forêt tropicale abrite des milliers d'espèces animales.
P009_fr,A_parallel,fr,P009,La forêt tropicale abrite des milliers d'espèces animales.,8,14.0,17.0,La forêt tropic|al|e abrit|e des millier|s d' espèc|e|s animal|e|s,
P009_sw,A_parallel,sw,P009,Msitu wa tropiki una maelfu ya spishi za wanyama.,9,9.0,11.0,Msitu wa tropiki u|na maelfu ya spishi za wa|nyama,La forêt tropicale abrite des milliers d'espèces animales.
P009_wo,A_parallel,wo,P009,Kër bu yomb bi dafa am yoon yu bari yu xale yu jàmm.,13,13.0,13.0,Kër bu yomb bi dafa am yoon yu bari yu xale yu jàmm,La forêt tropicale abrite des milliers d'espèces animales.
P009_yo,A_parallel,yo,P009,Igbó ilẹ̀ igbóná ní ẹgbẹẹgbẹ̀rún irú ẹranko.,7,10.0,7.0,Igbó ilẹ̀ igbóná ní ẹgbẹẹgbẹ̀rún irú ẹranko,La forêt tropicale abrite des milliers d'espèces animales.
P010_fon,A_parallel,fon,P010,Nǔnywɛxɔ yɔyɔ̌ lɛ nɔ cí nǔ e mǐ nɔ wà gbɛ̀ mɛ tɔn.,13,15.0,15.0,Nǔ|nywɛ|xɔ yɔyɔ̌ lɛ nɔ cí nǔ e mǐ nɔ wà gbɛ̀ mɛ tɔn,Les nouvelles technologies changent notre façon de vivre.
P010_fr,A_parallel,fr,P010,Les nouvelles technologies changent notre façon de vivre.,8,14.0,15.0,Les nouvel|le|s technologi|e|s chang|ent notr|e façon de vivr|e,
P010_sw,A_parallel,sw,P010,Teknolojia mpya zinabadilisha njia yetu ya kuishi.,7,9.0,10.0,Teknolojia mpya zi|na|badilisha njia yetu ya ku|ishi,Les nouvelles technologies changent notre façon de vivre.
P010_wo,A_parallel,wo,P010,Xeetu njëkëram yi ëpp ci kanam dañuy soppi yoon wu ñu dëkk.,12,14.0,12.0,Xeetu njëkëram yi ëpp ci kanam dañuy soppi yoon wu ñu dëkk,Les nouvelles technologies changent notre façon de vivre.
P010_yo,A_parallel,yo,P010,Ìmọ̀ ẹ̀rọ tuntun ń yí ọ̀nà tí a ń gbé ayé padà.,12,13.0,13.0,Ì|mọ̀ ẹ̀rọ tuntun ń yí ọ̀nà tí a ń gbé ayé padà,Les nouvelles technologies changent notre façon de vivre.
P011_fon,A_parallel,fon,P011,Ayikúngban ɔ nɔ mɛ zǎnsínsɛn gbɛ̀ gbɛ̀.,7,11.0,11.0,Ayi|kún|gban ɔ nɔ mɛ zǎn|sín|sɛn gbɛ̀ gbɛ̀,Le marché est ouvert chaque samedi matin.
P011_fr,A_parallel,fr,P011,Le marché est ouvert chaque samedi matin.,7,11.0,9.0,Le march|é est ouver|t chaque samedi matin,
P011_sw,A_parallel,sw,P011,Soko linafunguliwa kila Jumamosi asubuhi.,5,7.0,8.0,Soko li|na|fungu|liwa kila Jumamosi asubuhi,Le marché est ouvert chaque samedi matin.
P011_wo,A_parallel,wo,P011,Marché bi dafa jëlëndiku Aseer bu nekk suba.,8,9.0,9.0,Marché bi dafa jëlëndi|ku Aseer bu nekk suba,Le marché est ouvert chaque samedi matin.
P011_yo,A_parallel,yo,P011,Ọjà ń ṣí gbogbo Àbámẹ́ta òwúrọ̀.,6,9.0,8.0,Ọjà ń ṣí gbogbo À|bámẹ́ta ò|wúrọ̀,Le marché est ouvert chaque samedi matin.
P012_fon,A_parallel,fon,P012,Suklu mɛ lɛ nɔ wɛn azɔ bo nɔ d'alɔ ɖò zɔ̌sisa.,11,13.0,15.0,Su|klu mɛ lɛ nɔ wɛn a|zɔ bo nɔ d'alɔ ɖò zɔ̌|si|sa,Les étudiants préparent leurs examens avec sérieux.
P012_fr,A_parallel,fr,P012,Les étudiants préparent leurs examens avec sérieux.,7,14.0,11.0,Les étudiant|s prépar|ent leur|s examen|s avec sérieux,
P012_sw,A_parallel,sw,P012,Wanafunzi wanajitayarisha kwa mitihani yao kwa uzito.,7,11.0,12.0,Wana|funzi wa|na|ji|tayarisha kwa mi|tahani yao kwa uzito,Les étudiants préparent leurs examens avec sérieux.
P012_wo,A_parallel,wo,P012,Jangalekat yi dañuy sëtu ci jàngam yu ne ci kanam ak xam xam.,13,15.0,15.0,Jangale|kat yi dañuy sëtu ci jàng|am yu ne ci kanam ak xam xam,Les étudiants préparent leurs examens avec sérieux.
P012_yo,A_parallel,yo,P012,Àwọn akẹ́kọ̀ọ́ ń múrasílẹ̀ fún àwọn ìdánwò wọn pẹ̀lú ìsirárà.,10,14.0,16.0,Àwọn a|kẹ́kọ̀ọ́ ń mú|ra|sílẹ̀ fún àwọn ì|dánwò wọn pẹ̀lú ì|si|rárà,Les étudiants préparent leurs examens avec sérieux.
P013_fon,A_parallel,fon,P013,Fífá nyí nǔ e hɛn hudo nú tò ɔ tɔn gbigbɔ.,11,13.0,12.0,Fí|fá nyí nǔ e hɛn hudo nú tò ɔ tɔn gbigbɔ,La paix est nécessaire pour le développement d'un pays.
P013_fr,A_parallel,fr,P013,La paix est nécessaire pour le développement d'un pays.,9,14.0,14.0,La paix est nécessair|e pour le développ|e|ment d' un pay|s,
P013_sw,A_parallel,sw,P013,Amani inahitajika kwa maendeleo ya nchi.,6,8.0,9.0,Amani i|na|hitajika kwa ma|endeleo ya nchi,La paix est nécessaire pour le développement d'un pays.
P013_wo,A_parallel,wo,P013,Jam mooy nit ki bëgg a yor ngir dëkk bi dëkk.,11,11.0,11.0,Jam mooy nit ki bëgg a yor ngir dëkk bi dëkk,La paix est nécessaire pour le développement d'un pays.
P013_yo,A_parallel,yo,P013,Àlàáfíà ṣe pàtàkì fún ìdàgbàsókè orílẹ̀-èdè kan.,7,14.0,11.0,À|làáfíà ṣe pàtàkì fún ì|dàgbà|sókè orí|lẹ̀-èdè kan,La paix est nécessaire pour le développement d'un pays.
P014_fon,A_parallel,fon,P014,Nyɔnu lɛ nɔ wà azɔ taji ɖò gbigbɔ mɛ.,9,11.0,12.0,Nyo|nu lɛ nɔ wà a|zɔ ta|ji ɖò gbigbɔ mɛ,Les femmes jouent un rôle crucial dans le développement.
P014_fr,A_parallel,fr,P014,Les femmes jouent un rôle crucial dans le développement.,9,14.0,14.0,Les femm|e|s jou|ent un rôle crucial dans le développ|e|ment,
P014_sw,A_parallel,sw,P014,Wanawake wana jukumu muhimu katika maendeleo.,6,8.0,8.0,Wana|wake wana jukumu muhimu katika ma|endeleo,Les femmes jouent un rôle crucial dans le développement.
P014_wo,A_parallel,wo,P014,Jigéen yi am solo bu dëgëër ci njëkëram bu dëkk.,10,11.0,10.0,Jigéen yi am solo bu dëgëër ci njëkëram bu dëkk,Les femmes jouent un rôle crucial dans le développement.
P014_yo,A_parallel,yo,P014,Àwọn obìnrin ń kó ipa pàtàkì nínú ìdàgbàsókè.,8,12.0,11.0,Àwọn o|bìnrin ń kó ipa pàtàkì nínú ì|dàgbà|sókè,Les femmes jouent un rôle crucial dans le développement.
P015_fon,A_parallel,fon,P015,Hɛn Afrique tɔn nyí nǔ nyanya e ɖè dindo kpo xó kpo.,12,14.0,13.0,Hɛn Afrique tɔn nyí nǔ nya|nya e ɖè dindo kpo xó kpo,La musique africaine est riche en rythmes et en mélodies.
P015_fr,A_parallel,fr,P015,La musique africaine est riche en rythmes et en mélodies.,10,15.0,16.0,La musiqu|e african|e est rich|e en rhythm|e|s et en mélodie|s,
P015_sw,A_parallel,sw,P015,Muziki wa Kiafrika una utajiri wa midundo na nyimbo.,9,10.0,12.0,Muziki wa Ki|Afrika u|na utajiri wa mi|dundo na nyimbo,La musique africaine est riche en rythmes et en mélodies.
P015_wo,A_parallel,wo,P015,Xoloor wu Afrig wi dafa jar xeetu waxtaan yi te yomb yi.,12,12.0,12.0,Xoloor wu Afrig wi dafa jar xeetu waxtaan yi te yomb yi,La musique africaine est riche en rythmes et en mélodies.
P015_yo,A_parallel,yo,P015,Orin Áfíríkà jẹ ọlọ́rọ̀ nínú rítimù àti orin.,8,9.0,9.0,Orin Áfíríkà jẹ ọ|lọ́rọ̀ nínú rítimù àti orin,La musique africaine est riche en rythmes et en mélodies.
P016_fon,A_parallel,fon,P016,Mǐ ɖó na gbí ayikúngban ɔ bɔ zǎngbeto lɛ na ɖu.,11,13.0,14.0,Mǐ ɖó na gbí ayi|kún|gban ɔ bɔ zǎn|gbeto lɛ na ɖu,Il faut protéger l'environnement pour les générations futures.
P016_fr,A_parallel,fr,P016,Il faut protéger l'environnement pour les générations futures.,8,14.0,15.0,Il faut protég|er l' environ|ne|ment pour les génération|s futur|e|s,
P016_sw,A_parallel,sw,P016,Tunahitaji kulinda mazingira kwa vizazi vijavyo.,6,9.0,12.0,Tu|na|hitaji ku|linda mazingira kwa vi|zazi vi|ja|vyo,Il faut protéger l'environnement pour les générations futures.
P016_wo,A_parallel,wo,P016,Da fa war anu xam xam ci ndaw mi ngir njiit yi.,12,12.0,12.0,Da fa war anu xam xam ci ndaw mi ngir njiit yi,Il faut protéger l'environnement pour les générations futures.
P016_yo,A_parallel,yo,P016,A gbọdọ daabobo àyíká fún àwọn ìran tó ń bọ̀.,10,13.0,15.0,A gbọdọ da|a|bo|bo à|yíká fún àwọn ì|ran tó ń bọ̀,Il faut protéger l'environnement pour les générations futures.
P017_fon,A_parallel,fon,P017,Fútibɔ̌ wɛ nyí ɖɔgbɔ taji ɖò Afrique.,7,8.0,11.0,Fú|ti|bɔ̌ wɛ nyí ɖɔ|gbɔ ta|ji ɖò Afrique,Le football est le sport le plus populaire en Afrique.
P017_fr,A_parallel,fr,P017,Le football est le sport le plus populaire en Afrique.,10,14.0,12.0,Le football est le sport le plus populair|e en Afriqu|e,
P017_sw,A_parallel,sw,P017,Soka ndilo mchezo maarufu zaidi barani Afrika.,7,7.0,8.0,Soka ndilo m|chezo maarufu zaidi barani Afrika,Le football est le sport le plus populaire en Afrique.
P017_wo,A_parallel,wo,P017,Foot mooy game wu ëpp ci Afrig.,7,7.0,7.0,Foot mooy game wu ëpp ci Afrig,Le football est le sport le plus populaire en Afrique.
P017_yo,A_parallel,yo,P017,Bọ́ọ̀lù afẹsẹ jẹ eré ìdárayá tó gbajúmọ̀ jùlọ ní Áfíríkà.,10,14.0,13.0,Bọ́ọ̀lù a|fẹsẹ jẹ eré ì|dárayá tó gbajú|mọ̀ jùlọ ní Áfíríkà,Le football est le sport le plus populaire en Afrique.
P018_fon,A_parallel,fon,P018,Nǔkplɔnkplɔn tɔ lɛ nɔ yì sín zǎngbeto ɖokpo jɛ alɔ ɖevo.,11,16.0,15.0,Nǔ|kplɔn|kplɔn tɔ lɛ nɔ yì sín zǎn|gbeto ɖo|kpo jɛ alɔ ɖevo,Les traditions culturelles sont transmises de génération en génération.
P018_fr,A_parallel,fr,P018,Les traditions culturelles sont transmises de génération en génération.,9,17.0,16.0,Les tradition|s cultur|el|le|s son|t transmis|e|s de génération en génération,
P018_sw,A_parallel,sw,P018,Mila za kitamaduni zinapitishwa kutoka kizazi hadi kizazi.,8,10.0,13.0,Mila za ki|tamaduni zi|na|pitishwa kutoka ki|zazi hadi ki|zazi,Les traditions culturelles sont transmises de génération en génération.
P018_wo,A_parallel,wo,P018,Xeeyu mbind mi dafa jël ci kanam ca biir mbokk yi.,11,11.0,11.0,Xeeyu mbind mi dafa jël ci kanam ca biir mbokk yi,Les traditions culturelles sont transmises de génération en génération.
P018_yo,A_parallel,yo,P018,A ń gbé àwọn àṣà ìbílẹ̀ kálẹ̀ láti ìran sí ìran.,11,16.0,15.0,A ń gbé àwọn à|ṣà ì|bílẹ̀ kálẹ̀ láti ì|ran sí ì|ran,Les traditions culturelles sont transmises de génération en génération.
P019_fon,A_parallel,fon,P019,Rédio wɛ nyí hɛn taji ɖò toxo mɛ.,8,9.0,9.0,Rédio wɛ nyí hɛn ta|ji ɖò toxo mɛ,La radio est un moyen de communication important en zone rurale.
P019_fr,A_parallel,fr,P019,La radio est un moyen de communication important en zone rurale.,11,17.0,15.0,La radio est un moyen de commun|ic|ation important en zon|e rural|e,
P019_sw,A_parallel,sw,P019,Redio ni njia muhimu ya mawasiliano katika maeneo ya vijijini.,10,11.0,13.0,Redio ni njia muhimu ya ma|wasiliano katika ma|eneo ya vi|jijini,La radio est un moyen de communication important en zone rurale.
P019_wo,A_parallel,wo,P019,Radyo mooy yoon wu am solo ci dëkk bu wer.,10,10.0,10.0,Radyo mooy yoon wu am solo ci dëkk bu wer,La radio est un moyen de communication important en zone rurale.
P019_yo,A_parallel,yo,P019,Rédíò jẹ ọ̀nà ìbáraẹniṣepọ̀ pàtàkì ní àgbègbè ìdílé.,8,16.0,12.0,Rédíò jẹ ọ̀nà ì|báraẹni|ṣepọ̀ pàtàkì ní à|gbègbè ì|dílé,La radio est un moyen de communication important en zone rurale.
P020_fon,A_parallel,fon,P020,Vǐ lɛ ɖó nǔkplɔnkplɔn sí ɖò tò lɛ bǐ mɛ.,10,13.0,12.0,Vǐ lɛ ɖó nǔ|kplɔn|kplɔn sí ɖò tò lɛ bǐ mɛ,Les enfants ont droit à l'éducation dans tous les pays.
P020_fr,A_parallel,fr,P020,Les enfants ont droit à l'éducation dans tous les pays.,10,14.0,15.0,Les enfant|s on|t droit à l' éduc|ation dans tous les pay|s,
P020_sw,A_parallel,sw,P020,Watoto wana haki ya elimu katika nchi zote.,8,8.0,10.0,Wa|toto wa|na haki ya elimu katika nchi zote,Les enfants ont droit à l'éducation dans tous les pays.
P020_wo,A_parallel,wo,P020,Xale yi am sant ci jàng ci dëkk yépp.,9,9.0,9.0,Xale yi am sant ci jàng ci dëkk yépp,Les enfants ont droit à l'éducation dans tous les pays.
P020_yo,A_parallel,yo,P020,Àwọn ọmọ ní ẹ̀tọ́ sí ẹ̀kọ́ ní gbogbo orílẹ̀-èdè.,9,13.0,12.0,Àwọn ọmọ ní ẹ̀|tọ́ sí ẹ̀|kọ́ ní gbogbo orí|lẹ̀-èdè,Les enfants ont droit à l'éducation dans tous les pays.
P021_fon,A_parallel,fon,P021,Hwɛzɔ ɔ gbɔn tawun ɖò azǎn susu.,7,9.0,11.0,Hwɛ|zɔ ɔ gbɔn ta|wun ɖò a|zǎn su|su,La chaleur du soleil est intense en saison sèche.
P021_fr,A_parallel,fr,P021,La chaleur du soleil est intense en saison sèche.,9,13.0,11.0,La chaleur du soleil est intens|e en saison sèch|e,
P021_sw,A_parallel,sw,P021,Joto la jua ni kali sana wakati wa kiangazi.,9,8.0,10.0,Joto la jua ni kali sana wakati wa ki|angazi,La chaleur du soleil est intense en saison sèche.
P021_wo,A_parallel,wo,P021,Tëdd bu jant bi dafa tang sëgën ci yaj yi.,10,10.0,10.0,Tëdd bu jant bi dafa tang sëgën ci yaj yi,La chaleur du soleil est intense en saison sèche.
P021_yo,A_parallel,yo,P021,Ìgbóná oòrùn náà pọ̀ ní àkókò ọjọ́ ogbele.,8,11.0,11.0,Ì|gbóná oò|rùn náà pọ̀ ní à|kókò ọjọ́ ogbele,La chaleur du soleil est intense en saison sèche.
P022_fon,A_parallel,fon,P022,Tɔ̀ gbɛ̀ mɛ nɔ yì dó nǔ e nyí toxo mɛ.,11,12.0,11.0,Tɔ̀ gbɛ̀ mɛ nɔ yì dó nǔ e nyí toxo mɛ,Les hôpitaux manquent souvent de médicaments et de personnel.
P022_fr,A_parallel,fr,P022,Les hôpitaux manquent souvent de médicaments et de personnel.,9,14.0,13.0,Les hôpitaux manqu|ent souv|ent de médicament|s et de person|nel,
P022_sw,A_parallel,sw,P022,Hospitali mara nyingi zinakosekana dawa na wafanyakazi.,7,8.0,10.0,Hospitali mara nyingi zi|na|kosekana dawa na wa|fanyakazi,Les hôpitaux manquent souvent de médicaments et de personnel.
P022_wo,A_parallel,wo,P022,Dëkk-dëkk yi dañ mën a metti ak nit-jëkëram.,8,11.0,9.0,Dëkk-dëkk yi dañ mën a metti ak nit-jëkër|am,Les hôpitaux manquent souvent de médicaments et de personnel.
P022_yo,A_parallel,yo,P022,Àwọn ilé ìwòsàn máa ń ṣàì ní ìpésẹ̀ oògùn àti àwọn òṣìṣẹ́.,12,18.0,15.0,Àwọn ilé ì|wòsàn máa ń ṣàì ní ì|pésẹ̀ oògùn àti àwọn ò|ṣìṣẹ́,Les hôpitaux manquent souvent de médicaments et de personnel.
P023_fon,A_parallel,fon,P023,Dokunsinsɛn wɛ nyí buntɔ gbɛ̀ taji.,6,9.0,11.0,Do|kun|sin|sɛn wɛ nyí bun|tɔ gbɛ̀ ta|ji,L'agriculture est la principale source de revenus.
P023_fr,A_parallel,fr,P023,L'agriculture est la principale source de revenus.,7,11.0,14.0,L' agri|cultur|e est la princip|al|e sourc|e de revenu|s,
P023_sw,A_parallel,sw,P023,Kilimo ni chanzo kikuu cha mapato.,6,7.0,9.0,Ki|limo ni chanzo ki|kuu cha ma|pato,L'agriculture est la principale source de revenus.
P023_wo,A_parallel,wo,P023,Jëf-jëf bu dëkk mooy yoon wu njëkk wu xalis.,9,10.0,9.0,Jëf-jëf bu dëkk mooy yoon wu njëkk wu xalis,L'agriculture est la principale source de revenus.
