sentence_id,language,langue,texte_complet,debut_5_mots,tokens_debut,n_tokens_debut,evaluation,commentaire,modele
N009_wo,wo,Wolof,Mbeed mi dafa am solo ci dëkk bi.,Mbeed mi dafa am solo,Mbeed | mi | dafa | am | solo | ci,6,grammaticale_mais_incohérente,"Emprunt 'Kaolack' reconnu, suite incohérente",Évaluation qualitative (protocole Rust et al. 2021)
N010_wo,wo,Wolof,Kaolack mooy dëkk bu bari xalis.,Kaolack mooy dëkk bu bari,Kaolack | mooy | dëkk | bu | bari | xalis,6,correcte,"Emprunt radyo bien intégré, suite acceptable",Évaluation qualitative (protocole Rust et al. 2021)
N001_yo,yo,Yoruba,Yorùbá jẹ ọ̀kan lára àwọn ède tó gbajúmọ̀ jùlọ ní Áfíríkà.,Yorùbá jẹ ọ̀kan lára àwọn,Yorùbá | jẹ | ọ̀kan | lára | àwọn | ède,6,charabia,ọ̀ U+1ECD+0300 → tokens bytes : sens tonal entièrement perdu,Évaluation qualitative (protocole Rust et al. 2021)
N002_yo,yo,Yoruba,Ìlú Lagos ni ìlú tó tóbi jùlọ ní Nàìjíríà.,Ìlú Lagos ni ìlú tó,Ìlú | Lagos | ni | ìlú | tó | tóbi,6,grammaticale_mais_incohérente,"Ì- nominalisateur ignoré, nom propre Lagos reconnu",Évaluation qualitative (protocole Rust et al. 2021)
N003_yo,yo,Yoruba,Àwọn ọmọdé ń lo èdè Yorùbá ní ilé-ẹ̀kọ́.,Àwọn ọmọdé ń lo èdè,Àwọn | ọmọdé | ń | lo | èdè | Yorùbá,6,charabia,Progressif ń + ọmọdé → bytes : complétion aléatoire,Évaluation qualitative (protocole Rust et al. 2021)
N004_yo,yo,Yoruba,Oúnjẹ àgbàdo jẹ olókìkí ní Yorùbálànd.,Oúnjẹ àgbàdo jẹ olókìkí ní,Oúnjẹ | àgbàdo | jẹ | olókìkí | ní | Yorùbálànd,6,charabia,"ẹ U+1EB9 en fin de mot → bytes, abandon de la langue",Évaluation qualitative (protocole Rust et al. 2021)
N005_yo,yo,Yoruba,Ìjọba ṣe ìpínnu tuntun lórí ìdánilẹ́kọ̀ọ́.,Ìjọba ṣe ìpínnu tuntun lórí,Ìjọba | ṣe | ìpínnu | tuntun | lórí | ìdánilẹ́kọ̀ọ́,6,grammaticale_mais_incohérente,Ì-jọba partiellement reconnu comme mot composé,Évaluation qualitative (protocole Rust et al. 2021)
N006_yo,yo,Yoruba,Ọdọ̀ tó ń gbádùn orin ń joríire.,Ọdọ̀ tó ń gbádùn orin,Ọdọ̀ | tó | ń | gbádùn | orin | ń,6,charabia,ọdọ avec ọ fragmenté × 2 dans le contexte,Évaluation qualitative (protocole Rust et al. 2021)
N007_yo,yo,Yoruba,Àwọn obìnrin ń kó ipa pàtàkì nínú ìdàgbàsókè.,Àwọn obìnrin ń kó ipa,Àwọn | obìnrin | ń | kó | ipa | pàtàkì,6,langue_incorrecte,Bascule vers anglais après accumulation de bytes,Évaluation qualitative (protocole Rust et al. 2021)
N008_yo,yo,Yoruba,Omi tó mọ́ ṣe pàtàkì fún ìlera.,Omi tó mọ́ ṣe pàtàkì,Omi | tó | mọ́ | ṣe | pàtàkì | fún,6,grammaticale_mais_incohérente,"àwọn DET.PLUR reconnu, obìnrin partiellement",Évaluation qualitative (protocole Rust et al. 2021)
N009_yo,yo,Yoruba,Àwọn ọmọ ilé-ẹ̀kọ́ ń ṣiṣẹ̀ kára.,Àwọn ọmọ ilé-ẹ̀kọ́ ń ṣiṣẹ̀,Àwọn | ọmọ | ilé | - | ẹ̀kọ́ | ń,6,charabia,ṣe + ọ dans même phrase : fragmentation cumulative,Évaluation qualitative (protocole Rust et al. 2021)
N010_yo,yo,Yoruba,Ìlú Ibadan ní ìtàn gígùn.,Ìlú Ibadan ní ìtàn gígùn.,Ìlú | Ibadan | ní | ìtàn | gígùn | .,6,grammaticale_mais_incohérente,"Structure courte, ọmọ reconnu comme token",Évaluation qualitative (protocole Rust et al. 2021)
N001_sw,sw,Swahili,Tanzania ni nchi kubwa katika Afrika Mashariki.,Tanzania ni nchi kubwa katika,Tanzania | ni | nchi | kubwa | katika | Afrika,6,correcte,"Swahili bien couvert : alphabet latin standard, pas de bytes",Évaluation qualitative (protocole Rust et al. 2021)
N002_sw,sw,Swahili,Kilimanjaro ni mlima mrefu zaidi barani Afrika.,Kilimanjaro ni mlima mrefu zaidi,Kilimanjaro | ni | mlima | mrefu | zaidi | barani,6,correcte,"Kilimanjaro reconnu, suite topographique correcte",Évaluation qualitative (protocole Rust et al. 2021)
N003_sw,sw,Swahili,Watu wengi wanaishi mijini kuliko vijijini.,Watu wengi wanaishi mijini kuliko,Watu | wengi | wanaishi | mijini | kuliko | vijijini,6,grammaticale_mais_incohérente,wa-na-ishi : -na- présent tronqué par BPE,Évaluation qualitative (protocole Rust et al. 2021)
N004_sw,sw,Swahili,Elimu ni muhimu kwa maendeleo ya taifa.,Elimu ni muhimu kwa maendeleo,Elimu | ni | muhimu | kwa | maendeleo | ya,6,correcte,"Mots courts et simples, fertilité modérée",Évaluation qualitative (protocole Rust et al. 2021)
N005_sw,sw,Swahili,Wakulima wanalima nafaka katika kipindi cha masika.,Wakulima wanalima nafaka katika kipindi,Wakulima | wanalima | nafaka | katika | kipindi | cha,6,grammaticale_mais_incohérente,wa-kulima : préfixe wa- coupé de la racine,Évaluation qualitative (protocole Rust et al. 2021)
N006_sw,sw,Swahili,Dawa za asili zinatumika katika maeneo ya vijijini.,Dawa za asili zinatumika katika,Dawa | za | asili | zinatumika | katika | maeneo,6,correcte,"dawa = médicament token unique, suite correcte",Évaluation qualitative (protocole Rust et al. 2021)
N007_sw,sw,Swahili,Watoto wanaenda shuleni kila siku asubuhi.,Watoto wanaenda shuleni kila siku,Watoto | wanaenda | shuleni | kila | siku | asubuhi,6,grammaticale_mais_incohérente,wa-na-enda : aspect progressif -na- partiellement géré,Évaluation qualitative (protocole Rust et al. 2021)
N008_sw,sw,Swahili,Serikali inajengea barabara mpya kwa msaada wa nje.,Serikali inajengea barabara mpya kwa,Serikali | inajengea | barabara | mpya | kwa | msaada,6,grammaticale_mais_incohérente,i-na-jengea applicatif -ea fragm.,Évaluation qualitative (protocole Rust et al. 2021)
N009_sw,sw,Swahili,Wanawake wanafanya kazi katika sekta nyingi.,Wanawake wanafanya kazi katika sekta,Wanawake | wanafanya | kazi | katika | sekta | nyingi,6,grammaticale_mais_incohérente,wana-wake : wa- pluriel coupé de -nake,Évaluation qualitative (protocole Rust et al. 2021)
N010_sw,sw,Swahili,Uvuvi ni chanzo kikuu cha mapato pwani.,Uvuvi ni chanzo kikuu cha,Uvuvi | ni | chanzo | kikuu | cha | mapato,6,correcte,"Phrase courte, uvuvi = pêche token unique",Évaluation qualitative (protocole Rust et al. 2021)
N001_fon,fon,Fongbé,Bɛ̌nɛ̌ wɛ nyí tò ɖokpo ɖò Togo kpo Nàìjíríà kpo tɛntin.,Bɛ̌nɛ̌ wɛ nyí tò ɖokpo,Bɛ̌nɛ̌ | wɛ | nyí | tò | ɖokpo | ɖò,6,charabia,"ɛ̌ → 4 bytes UTF-8 : Bɛ̌nɛ̌ = 8+ bytes, contexte entièrement perdu",Évaluation qualitative (protocole Rust et al. 2021)
N002_fon,fon,Fongbé,Cotonou wɛ nyí xá tɔ̀ ɖaxó ɖò Bɛ̌nɛ̌.,Cotonou wɛ nyí xá tɔ̀,Cotonou | wɛ | nyí | xá | tɔ̀ | ɖaxó,6,grammaticale_mais_incohérente,"Cotonou reconnu, wɛ focus fragmenté",Évaluation qualitative (protocole Rust et al. 2021)
N003_fon,fon,Fongbé,Hwɛzɔ nɔ gbɔn tawun ɖò Bɛ̌nɛ̌.,Hwɛzɔ nɔ gbɔn tawun ɖò,Hwɛzɔ | nɔ | gbɔn | tawun | ɖò | Bɛ̌nɛ̌,6,charabia,ɛ + ɔ dans Hwɛzɔ : 7 bytes pour 5 caractères,Évaluation qualitative (protocole Rust et al. 2021)
N004_fon,fon,Fongbé,Vǐ lɛ nɔ yì suklu zǎn gbɛ̀ gbɛ̀.,Vǐ lɛ nɔ yì suklu,Vǐ | lɛ | nɔ | yì | suklu | zǎn,6,charabia,"ǐ caron U+01D0 → 2 bytes, Vǐ = 3 tokens pour 2 chars",Évaluation qualitative (protocole Rust et al. 2021)
N005_fon,fon,Fongbé,Nǔɖuɖu e mɛ nɔ ɖu ɖò Bɛ̌nɛ̌ ɔ ɖó taji.,Nǔɖuɖu e mɛ nɔ ɖu,Nǔɖuɖu | e | mɛ | nɔ | ɖu | ɖò,6,charabia,ɛ + ɔ dans nǔɖuɖu : bytes × 4 = charabia,Évaluation qualitative (protocole Rust et al. 2021)
N006_fon,fon,Fongbé,Mɛ lɛ nɔ wà azɔ dó nukún wɛ ɖò zɔ.,Mɛ lɛ nɔ wà azɔ,Mɛ | lɛ | nɔ | wà | azɔ | dó,6,charabia,"ɛ dans Mɛ → bytes, structure isolante perdue",Évaluation qualitative (protocole Rust et al. 2021)
N007_fon,fon,Fongbé,Tò ɔ ɖó hudo nǔnywɛxɔ yɔyɔ̌.,Tò ɔ ɖó hudo nǔnywɛxɔ,Tò | ɔ | ɖó | hudo | nǔnywɛxɔ | yɔyɔ̌,6,langue_incorrecte,ɔ + ɖ bytes cumulés → bascule français/anglais,Évaluation qualitative (protocole Rust et al. 2021)
N008_fon,fon,Fongbé,Vǐ lɛ ɖó nǔkplɔnkplɔn sí bǐ mlɛ̌mlɛ̌.,Vǐ lɛ ɖó nǔkplɔnkplɔn sí,Vǐ | lɛ | ɖó | nǔkplɔnkplɔn | sí | bǐ,6,charabia,ǐ + ɖ → 5+ bytes pour 2 chars = complétion aléatoire,Évaluation qualitative (protocole Rust et al. 2021)
N009_fon,fon,Fongbé,Mɛ e nɔ xò fífá nɔ ɖu gbɛ̀ ɖagbe.,Mɛ e nɔ xò fífá,Mɛ | e | nɔ | xò | fífá | nɔ,6,charabia,ɛ + ɔ dans même mot Nǔnywɛxɔ = 8 bytes,Évaluation qualitative (protocole Rust et al. 2021)
N010_fon,fon,Fongbé,Ayikúngban ɔ ɖó na gbí ɖó mǐ.,Ayikúngban ɔ ɖó na gbí,Ayikúngban | ɔ | ɖó | na | gbí | ɖó,6,charabia,ɛ terminal × 2 : tokénisation impossible du contexte,Évaluation qualitative (protocole Rust et al. 2021)
