id;langue;fichier_audio;transcription_ortho;transcription_ipa;traduction_fr;locuteur;source;paire_minimale;id_paire;ton_patron;conditions;duree_sec;qualite;notes
wol_012;wolof;raw/wolof/wol_012.mp3;su fekkee ne mu nga fa dinaa ko ko wax;/su fekkee ne mu ᵑɡa fa dinaa ko ko wax/;et si vous êtes là, je vous dirai;L1_inconnu;alffa;non;;;studio;5.073;haute;
wol_013;wolof;raw/wolof/wol_013.mp3;parce que boo parcourir ree 1 kilomètre boo xam ne amul benn garab;/paɾt͡ʃe que boo paɾt͡ʃouɾiɾ ɾee 1 kilomètɾe boo xam ne amul benn ɡaɾab/;si vous allez marcher un kilomètre, vous n'avez pas;L1_inconnu;kallama;non;;;studio;2.453;haute;
wol_014;wolof;raw/wolof/wol_014.mp3;sedd lañu nekk guddi gi dafay teel a dugg;/sedd laɲu nekk ɡuddi ɡi dafaj teel a duɡɡ/;au milieu de la nuit, ils arrivent;L1_inconnu;alffa;non;;;studio;3.7;haute;
wol_015;wolof;raw/wolof/wol_015.mp3;Lycee Maurice Delafosse;/ljt͡ʃee mauɾit͡ʃe delafosse/;Lycée Maurice Delafosse;L1_inconnu;urban_bus;non;;;studio;3.024;haute;
wol_016;wolof;raw/wolof/wol_016.mp3;nan laay def ba dem Boulangerie marché mame Diarra;/nan laaj def ba dem boulaᵑɡeɾie maɾt͡ʃé mame diaɾɾa/;comment vais-je me rendre à Buenos Aires ?;L1_inconnu;urban_bus;non;;;studio;4.176;haute;
wol_017;wolof;raw/wolof/wol_017.mp3;Elton Ouest Foire;/elton ouest foiɾe/;Elton West Ferrari;L1_inconnu;urban_bus;non;;;studio;2.664;haute;
wol_018;wolof;raw/wolof/wol_018.mp3;Marché Taly Bu makk;/maɾt͡ʃé talj bu makk/;D'autre part, Tally;L1_inconnu;urban_bus;non;;;studio;2.184;haute;
wol_019;wolof;raw/wolof/wol_019.mp3;léegi de yaay tegoo njaboot gu sew gi fi sa baay ba;/léeɡi de jaaj teɡoo ᵑd͡ʒaboot ɡu sew ɡi fi sa baaj ba/;maintenant, vous êtes en charge de votre famille;L1_inconnu;alffa;non;;;studio;4.156;haute;
wol_020;wolof;raw/wolof/wol_020.mp3;CEM Hann;/t͡ʃem hann/;La lumière du CEM;L1_inconnu;urban_bus;non;;;studio;2.136;haute;
wol_021;wolof;raw/wolof/wol_021.mp3;parce que moo tax moo tax tey fële nële tey magasin ba amul benn intrant boo xamante ne nii desoon na fa muy intrant di matériel;/paɾt͡ʃe que moo tax moo tax tej fəle nəle tej maɡasin ba amul benn intɾant boo xamante ne nii desoon na fa muj intɾant di matéɾiel/;pour cette raison, il est important de garder à l'esprit qu'il n'y a pas d'intrus et qu'il n'y a pas d'intrus.;L1_inconnu;kallama;non;;;studio;6.351;haute;
wol_022;wolof;raw/wolof/wol_022.mp3;Pharmacie Talibou Dabo;/phaɾmat͡ʃie talibou dabo/;Le Pharmacien de Tabou Dabo;L1_inconnu;urban_bus;non;;;studio;3.144;haute;
wol_023;wolof;raw/wolof/wol_023.mp3;su ma sañul xarab it sañ naa gërëm ñi ma daan may;/su ma saɲul xaɾab it saɲ naa ɡəɾəm ɲi ma daan maj/;si je n'ai pas le droit de dire merci à mon;L1_inconnu;alffa;non;;;studio;4.699;haute;
wol_024;wolof;raw/wolof/wol_024.mp3;billet yu bari yuñ jaay ci site en ligne yiy def anchere lu ci melni ebay wala craigslist yooyu ay billet parc-hopper yu xawa yàgg lañu te xaw nañu leen jëfandikoo;/billet ju baɾi juɲ d͡ʒaaj t͡ʃi site en liɡne jij def aⁿt͡ʃheɾe lu t͡ʃi melni ebaj wala t͡ʃɾaiɡslist jooju aj billet paɾt͡ʃ-hoppeɾ ju xawa jàɡɡ laɲu te xaw naɲu leen d͡ʒəfaⁿdikoo/;il y a beaucoup de boutiques en ligne qui existent depuis longtemps et qui existent depuis longtemps.;L1_inconnu;fleurs;non;;;studio;17.04;haute;
wol_025;wolof;raw/wolof/wol_025.mp3;loolu aussi day gën a dem ba moom rey suufam si;/loolu aussi daj ɡən a dem ba moom ɾej suufam si/;il serait préférable pour lui de sortir et de tuer son;L1_inconnu;kallama;non;;;studio;2.391;haute;
wol_026;wolof;raw/wolof/wol_026.mp3;benn genre ngelaw boo xam ni moom la ñuy wax évapotranspiration;/benn ɡenɾe ᵑɡelaw boo xam ni moom la ɲuj wax évapotɾanspiɾation/;il existe un type de vent connu sous le nom d'évapotranspiration;L1_inconnu;kallama;non;;;studio;3.344;haute;
wol_027;wolof;raw/wolof/wol_027.mp3;laaj na nga leeral bu baax sa wax ji nànduma ko bu baax;/laad͡ʒ na ᵑɡa leeɾal bu baax sa wax d͡ʒi nàⁿduma ko bu baax/;je veux que vous soyez clair sur ce que vous dites;L1_inconnu;alffa;non;;;studio;4.72;haute;
wol_028;wolof;raw/wolof/wol_028.mp3;ñépp a mën jot ci leeraay mennum mbir mu taxaw ci yoonu jubluwaay mooy sunu taasiyoŋ ak ñakka woolu sunu bopp;/ɲépp a mən d͡ʒot t͡ʃi leeɾaaj mennum ᵐbiɾ mu taxaw t͡ʃi joonu d͡ʒubluwaaj mooj sunu taasijoŋ ak ɲakka woolu sunu bopp/;nous avons tous un rôle à jouer dans nos vies, et nous avons tous un rôle à jouer dans nos vies.;L1_inconnu;fleurs;non;;;studio;11.34;haute;
wol_029;wolof;raw/wolof/wol_029.mp3;Pharmacie Ibrahima Niass;/phaɾmat͡ʃie ibɾahima niass/;La pharmacie d'Ibrahim Niass;L1_inconnu;urban_bus;non;;;studio;5.496;haute;
wol_030;wolof;raw/wolof/wol_030.mp3;te fi mu ne nii la ma leen waxoon rek mooy développement sénégal ci suuf la jugee jëm ci kaw;/te fi mu ne nii la ma leen waxoon ɾek mooj développement sénéɡal t͡ʃi suuf la d͡ʒuɡee d͡ʒəm t͡ʃi kaw/;c'est ce que je voulais dire quand je vous ai dit que le développement de la terre est le résultat de;L1_inconnu;kallama;non;;;studio;5.52;haute;
wol_031;wolof;raw/wolof/wol_031.mp3;donc xamal na leen mbir yi kat nii la demee;/doⁿt͡ʃ xamal na leen ᵐbiɾ ji kat nii la demee/;il ne vous a pas dit ces choses;L1_inconnu;kallama;non;;;studio;2.739;haute;
wol_032;wolof;raw/wolof/wol_032.mp3;sa mbaal mi jén yu ndaw rekk la mëna jàpp;/sa ᵐbaal mi d͡ʒén ju ⁿdaw ɾekk la məna d͡ʒàpp/;vous ne pouvez obtenir qu'une petite quantité de;L1_inconnu;alffa;non;;;studio;4.55;haute;
wol_033;wolof;raw/wolof/wol_033.mp3;elimaan warula def lu nit ñi di àññ;/elimaan waɾula def lu nit ɲi di àɲɲ/;elma n'a rien à faire;L1_inconnu;alffa;non;;;studio;3.494;haute;
wol_034;wolof;raw/wolof/wol_034.mp3;alal yu baré yaram vu vér à ko gen;/alal ju baɾé jaɾam vu véɾ à ko ɡen/;les trésors du corps;L1_inconnu;alffa;non;;;studio;5.428;haute;
wol_035;wolof;raw/wolof/wol_035.mp3;man boog ci man nga xam ni maay yëngu ci wàllu météo;/man booɡ t͡ʃi man ᵑɡa xam ni maaj jəᵑɡu t͡ʃi wàllu météo/;si vous savez ce que je ressens à propos de la;L1_inconnu;kallama;non;;;studio;3.022;haute;
sw_001;swahili;raw/swahili/sw_001.mp3;ya redio france internanational mimi ni zuhra mwera;/ja ɾeɗio fɾance inteɾnanational mimi ni zuhɾa mweɾa/;la radio internationale française je suis une zuhra blanche;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.77;haute;
sw_002;swahili;raw/swahili/sw_002.mp3;marekani yasema iko tayari kuisaidia korea kusini kuikabili korea kaskazini;/maɾekani jasema iko tajaɾi kuisaiɗia koɾea kusini kuikaɓili koɾea kaskazini/;les États-Unis se disent prêts à aider la Corée du Sud à traiter avec la Corée du Nord;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;4.26;haute;
sw_003;swahili;raw/swahili/sw_003.mp3;na tume ya uchaguzi nchini nigeria yataja tarehe ya uchaguzi mkuu wa nchi hiyo;/na tume ja ut͡ʃaɠuzi nt͡ʃini niɠeɾia jataʄa taɾehe ja ut͡ʃaɠuzi mkuu wa nt͡ʃi hijo/;la Commission électorale nigériane fixera la date des élections générales du pays.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;4.41;haute;
sw_004;swahili;raw/swahili/sw_004.mp3;karibu katika awamu ya pili ya matangazo ya asubuhi;/kaɾiɓu katika awamu ja pili ja matanɡazo ja asuɓuhi/;bienvenue à la deuxième phase de l'émission du matin;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3.25;haute;
sw_005;swahili;raw/swahili/sw_005.mp3;wachimbaji wote ishirini na kenda ambao walikuwa wamekwama ndani ya mgodi wa makaa ya mawe nchini humo;/wat͡ʃimbaʄi wote iʃiɾini na kenda ambao walikuwa wamekwama ndani ja mɠoɗi wa makaa ja mawe nt͡ʃini humo/;les vingt-neuf mineurs qui ont été piégés à l'intérieur d'une mine de charbon dans le pays;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;4.6;haute;
sw_006;swahili;raw/swahili/sw_006.mp3;wanaeleza kupoteza maisha baada ya kutokea kwa mlipuko mwingine wa gesi;/wanaeleza kupoteza maiʃa ɓaaɗa ja kutokea kwa mlipuko mwinɡine wa ɠesi/;expliquer la perte de vie après la survenue d'une autre explosion de gaz;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3.51;haute;
sw_007;swahili;raw/swahili/sw_007.mp3;mlipuko wa pili ambao umetokea ndani ya mgodi wa makaa ya mawe nchini new zealand;/mlipuko wa pili ambao umetokea ndani ja mɠoɗi wa makaa ja mawe nt͡ʃini new zealand/;deuxième explosion survenue à l'intérieur d'une mine de charbon en Nouvelle-Zélande;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;4.09;haute;
sw_008;swahili;raw/swahili/sw_008.mp3;utajwa kusababisha vifo vya wachimbaji wote ishirini na tisa;/utaʄwa kusaɓaɓiʃa vifo vja wat͡ʃimbaʄi wote iʃiɾini na tisa/;cela a entraîné la mort des neuf personnes.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3.04;haute;
sw_009;swahili;raw/swahili/sw_009.mp3;ambao walikwama kutokana kuporomoka kwa mgodi huo;/ambao walikwama kutokana kupoɾomoka kwa mɠoɗi huo/;qui ont été piégés en raison de l'effondrement de la mine;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.76;haute;
sw_010;swahili;raw/swahili/sw_010.mp3;hali hii inaeleza kudhoofisha juhudi zote ambazo zilikuwa zinachukuliwa na serikali;/hali hii inaeleza kuðoofiʃa ʄuhuɗi zote ambazo zilikuwa zinat͡ʃukuliwa na seɾikali/;cela sape tous les efforts qui ont été faits par le gouvernement.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3.86;haute;
sw_011;swahili;raw/swahili/sw_011.mp3;kuhakikisha wanawaokoa wachimbaji hao ambao wamekwama kwa takriban juma moja;/kuhakikiʃa wanawaokoa wat͡ʃimbaʄi hao ambao wamekwama kwa takɾiɓan ʄuma moʄa/;assurez-vous de sauver les mineurs qui sont bloqués depuis environ une semaine;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;4.51;haute;
sw_012;swahili;raw/swahili/sw_012.mp3;mkuu wa polisi ambaye alikuwa anaongoza zoezi hilo;/mkuu wa polisi ambaje alikuwa anaonɡoza zoezi hilo/;le chef de police qui était en charge de l'exercice;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.45;haute;
sw_013;swahili;raw/swahili/sw_013.mp3;iliyokuwa imezagaa ndio imesababisha vifo;/ilijokuwa imezaɠaa ndio imesaɓaɓiʃa vifo/;c'est ce qui a causé la mort.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.44;haute;
sw_014;swahili;raw/swahili/sw_014.mp3;amewaambia pia waandishi yakuwa;/amewaambia pia waandiʃi jakuwa/;il a également déclaré aux journalistes que;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.29;haute;
sw_015;swahili;raw/swahili/sw_015.mp3;watahakikisha wanaiokoa miili yote ambayo imekwama;/watahakikiʃa wanaiokoa miili jote ambajo imekwama/;s'assurera qu'ils sauvent tous les corps qui sont coincés;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.81;haute;
sw_016;swahili;raw/swahili/sw_016.mp3;wachimbaji ambao walikuwa wamenaswa chini ya udongo;/wat͡ʃimbaʄi ambao walikuwa wamenaswa t͡ʃini ja uɗonɡo/;mineurs qui ont été piégés sous terre;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.19;haute;
sw_017;swahili;raw/swahili/sw_017.mp3;na mmoja kutoka nchini afrika kusini;/na mmoʄa kutoka nt͡ʃini afɾika kusini/;et un d'Afrique du Sud;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.45;haute;
sw_018;swahili;raw/swahili/sw_018.mp3;huku kumbukumbu zikionyesha mlipuko kwanza;/huku kumbukumbu zikioɲeʃa mlipuko kwanza/;comme les souvenirs montrent d'abord l'explosion;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.54;haute;
sw_019;swahili;raw/swahili/sw_019.mp3;ulitokea mapema siku ya ijumaa;/ulitokea mapema siku ja iʄumaa/;s'est produit tôt vendredi;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.2;haute;
sw_020;swahili;raw/swahili/sw_020.mp3;rais wa marekani barack obama amekiri kuwa taifa la korea kaskazini ni hatari kwa usalama wa dunia;/ɾais wa maɾekani ɓaɾack oɓama amekiɾi kuwa taifa la koɾea kaskazini ni hataɾi kwa usalama wa ɗunia/;le président américain Barack Obama a admis que la Corée du Nord est une menace pour la sécurité mondiale.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;5.84;haute;
sw_021;swahili;raw/swahili/sw_021.mp3;kufuatia nchi hiyo kuwashambulia majirani zao korea kusini;/kufuatia nt͡ʃi hijo kuwaʃambulia maʄiɾani zao koɾea kusini/;ils ont attaqué leurs voisins en Corée du Sud.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3;haute;
sw_022;swahili;raw/swahili/sw_022.mp3;na kusababisha vifo vya wanajeshi wa taifa hilo;/na kusaɓaɓiʃa vifo vja wanaʄeʃi wa taifa hilo/;et a entraîné la mort de soldats de la nation;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.64;haute;
sw_023;swahili;raw/swahili/sw_023.mp3;rais obama amesema licha ya hali kuwa hivyo;/ɾais oɓama amesema lit͡ʃa ja hali kuwa hivjo/;le président Obama a déclaré que malgré;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.36;haute;
sw_024;swahili;raw/swahili/sw_024.mp3;lakini nchi yake haina mpango wa kutumia nguvu za kijeshi kukabiliana na korea kaskazini;/lakini nt͡ʃi jake haina mpanɡo wa kutumia nɡuvu za kiʄeʃi kukaɓiliana na koɾea kaskazini/;mais son pays ne prévoit pas d'utiliser la force militaire contre la Corée du Nord;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;4.38;haute;
sw_025;swahili;raw/swahili/sw_025.mp3;na badala yake watafanya mahojiano na korea kusini;/na ɓaɗala jake watafaɲa mahoʄiano na koɾea kusini/;et sera plutôt interviewé par le Sud-Coréen;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.43;haute;
sw_026;swahili;raw/swahili/sw_026.mp3;tuko na ushirikiano imara na jukumu letu;/tuko na uʃiɾikiano imaɾa na ʄukumu letu/;nous avons un partenariat solide avec notre rôle;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.52;haute;
sw_027;swahili;raw/swahili/sw_027.mp3;kuna taarifa kuwa vikosi vya korea kusini na marekani;/kuna taaɾifa kuwa vikosi vja koɾea kusini na maɾekani/;il y a des rapports selon lesquels les forces sud-coréennes et américaines;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.57;haute;
sw_028;swahili;raw/swahili/sw_028.mp3;vitafanya mazoezi ya kijeshi kwa siku nne yatakayoanza jumapili ijayo;/vitafaɲa mazoezi ja kiʄeʃi kwa siku nne jatakajoanza ʄumapili iʄajo/;l'entraînement militaire pour les quatre prochains jours commencera dimanche.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3.76;haute;
sw_029;swahili;raw/swahili/sw_029.mp3;ili kujiandaa na chochote kinachoweza kutokea;/ili kuʄiandaa na t͡ʃot͡ʃote kinat͡ʃoweza kutokea/;pour se préparer à tout ce qui pourrait arriver;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.87;haute;
sw_030;swahili;raw/swahili/sw_030.mp3;tukiendelea kubaki katika sakata la korea kaskazini waziri mkuu wa japan nao tu khan;/tukiendelea kuɓaki katika sakata la koɾea kaskazini waziɾi mkuu wa ʄapan nao tu xan/;le Premier ministre nord-coréen Just Khan;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;4.34;haute;
sw_031;swahili;raw/swahili/sw_031.mp3;ameitaka china kutumia ushawishi wake iliyonayo kwa korea kaskazini;/ameitaka t͡ʃina kutumia uʃawiʃi wake ilijonajo kwa koɾea kaskazini/;la Chine exhorte la Chine à user de son influence en Corée du Nord;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3.62;haute;
sw_032;swahili;raw/swahili/sw_032.mp3;kusaidia kupunguza msuguano kati ya korea kaskazini na korea kusini;/kusaiɗia kupunɡuza msuɠuano kati ja koɾea kaskazini na koɾea kusini/;aider à réduire les tensions entre la Corée du Nord et la Corée du Sud;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;3.62;haute;
sw_033;swahili;raw/swahili/sw_033.mp3;waziri khan amekimbia kikosi maalum kilichoundwa kutazamwa kwa makini tukio la mashambulizi;/waziɾi xan amekimbia kikosi maalum kilit͡ʃoundwa kutazamwa kwa makini tukio la maʃambulizi/;le ministre Khan a fui une unité spéciale conçue pour surveiller de près l'attaque.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;5.45;haute;
sw_034;swahili;raw/swahili/sw_034.mp3;ya korea kaskazini kwa korea kusini yaliofanyika hapo jana;/ja koɾea kaskazini kwa koɾea kusini jaliofaɲika hapo ʄana/;corée du Nord et Corée du Sud hier.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.81;haute;
sw_035;swahili;raw/swahili/sw_035.mp3;kuwa tukio hilo limezua hofu katika eneo lote;/kuwa tukio hilo limezua hofu katika eneo lote/;l'incident a déclenché la panique dans toute la région.;L1_masculin;OpenSLR/ALFFA;non;;NA;studio;2.55;haute;
audio_001;fongbe;raw/fongbe/audio_001.mp3;Kúdó zǎnzǎn; /Kúdó zǎnzǎn/;Bonjour.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_002;fongbe;raw/fongbe/audio_002.mp3;a do fín a; /a do fín a/;Tu es là ?;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_003;fongbe;raw/fongbe/audio_003.mp3;Édàbò; /Édàbò/;Au revoir;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_004;fongbe;raw/fongbe/audio_004.mp3;Do àwù to wɛ́ ?; /Do àwù to wɛ́ ?/;Portes ton habit.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_005;fongbe;raw/fongbe/audio_005.mp3;Do étɔn kújí ?; /Do étɔn kújí ?/;Leur mur est propre;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_006;fongbe;raw/fongbe/audio_006.mp3;Un do fí; /Un do fí/;Je suis ici.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_007;fongbe;raw/fongbe/audio_007.mp3;Fítɛ́ a ka nɔ wa azɔ̌ ɖe; /Fítɛ́ a ka nɔ wa azɔ̌ ɖe/;Où travailles-tu ?;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_008;fongbe;raw/fongbe/audio_008.mp3;Nǔ cikɔ́ nú mì; /Nǔ cikɔ́ nú mì/;Je suis fatiguée.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_009;fongbe;raw/fongbe/audio_009.mp3; Nán; /Nán/;Reine.;L1_féminin;enregistrement propre;oui;pair_faudio_009;H;studio;;;
audio_010;fongbe;raw/fongbe/audio_010.mp3; Ná; /Ná/;Donne.;L1_féminin;enregistrement propre;oui;pair_faudio_009;B;studio;;;
audio_011;fongbe;raw/fongbe/audio_011.mp3; Àzɔ́n; /Àzɔ́n/;Maladie.;L1_féminin;enregistrement propre;oui;pair_faudio_011;H;studio;;;
audio_012;fongbe;raw/fongbe/audio_012.mp3; Àzɔ̌; /Àzɔ̌/;Travail.;L1_féminin;enregistrement propre;oui;pair_faudio_011;B;studio;;;
audio_013;fongbe;raw/fongbe/audio_013.mp3; Asɔ́; /Asɔ́/;Mari.;L1_féminin;enregistrement propre;oui;pair_faudio_012;H;studio;;;
audio_014;fongbe;raw/fongbe/audio_014.mp3; Àsɔ̀; /Àsɔ̀/;Tu as grandi.;L1_féminin;enregistrement propre;oui;pair_faudio_012;B;studio;;;
audio_015;fongbe;raw/fongbe/audio_015.mp3; Tó; /Tó/;Oreille.;L1_féminin;enregistrement propre;oui;pair_faudio_013;H;studio;;;
audio_016;fongbe;raw/fongbe/audio_016.mp3; Tò; /Tò/;Pays.;L1_féminin;enregistrement propre;oui;pair_faudio_013;B;studio;;;
audio_017;fongbe;raw/fongbe/audio_017.mp3; Zan kóú; /Zan kóú/;Doucement.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_018;fongbe;raw/fongbe/audio_018.mp3; Nɔ̀nví tché; /Nɔ̀nví tché/;Mon frère.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_019;fongbe;raw/fongbe/audio_019.mp3; Wá fí; /Wá fí/;Viens ici.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_020;fongbe;raw/fongbe/audio_020.mp3; Un ɖo wémà ɖagbé ɖé xa wɛ; /Un ɖo wémà ɖagbé ɖé xa wɛ/;Je lis un bon livre.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_021;fongbe;raw/fongbe/audio_021.mp3; Un ɖɔ nú mi ɖɔ mi jínjɔ́n ayǐ; /Un ɖɔ nú mi ɖɔ mi jínjɔ́n ayǐ/;Je vous ai dit de vous asseoir.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_022;fongbe;raw/fongbe/audio_022.mp3; Yí; /Yí/;Prends.;L1_féminin;enregistrement propre;oui;pair_faudio_022;H;studio;;;
audio_023;fongbe;raw/fongbe/audio_023.mp3; Yì; /Yì/;Va.;L1_féminin;enregistrement propre;oui;pair_faudio_022;B;studio;;;
audio_024;fongbe;raw/fongbe/audio_024.mp3; Un jló ná kplɔ́n Swahili; /Un jló ná kplɔ́n Swahili/;Je veux apprendre le swahili.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_025;fongbe;raw/fongbe/audio_025.mp3; Kɔ́; /Kɔ́/;Cou.;L1_féminin;enregistrement propre;oui;pair_faudio_025;H;studio;;;
audio_026;fongbe;raw/fongbe/audio_026.mp3; Kɔ̀; /Kɔ̀/;Sable.;L1_féminin;enregistrement propre;oui;pair_faudio_025;B;studio;;;
audio_027;fongbe;raw/fongbe/audio_027.mp3; E zún mè; /E zún mè/;Il m'a insulté.;L1_féminin;enregistrement propre;non;;NA;studio;;;
audio_028;fongbe;raw/fongbe/audio_028.mp3; Azǎn égbé tɔn ɔ́; /Azǎn égbé tɔn ɔ́/;Aujourd’hui est un bon jour.;L1_féminin;enregistrement propre;non;;NA;studio;;;
